FSUS44 KTUA 220017
QPSTUA

.BR TUA 1022 Z DH00/DC202210220017
.B1 /DRH+6/PPQFM
.B2 /DRH+12/PPQFM
.B3 /DRH+18/PPQFM
.B4 /DRH+24/PPQFM
.B5 /DRH+30/PPQFM
.B6 /DRH+36/PPQFM
.B7 /DRH+42/PPQFM
.B8 /DRH+48/PPQFM
.B9 /DRH+54/PPQFM
.B10 /DRH+60/PPQFM
.B11 /DRH+66/PPQFM
.B12 /DRH+72/PPQFM
:
:              QUANTITATIVE PRECIPITATION FORECAST
:
:      6-HR  6-HR  6-HR  6-HR  6-HR  6-HR  6-HR  6-HR  6-HR  6-HR  6-HR  6-HR
:      PCPN  PCPN  PCPN  PCPN  PCPN  PCPN  PCPN  PCPN  PCPN  PCPN  PCPN  PCPN
:
:PUB
ABEC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.14/ 0.15/ 0.07/ 0.03/ 0.01/ 0.00/ 0.00/
ABEC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.04/ 0.20/ 0.22/ 0.13/ 0.05/ 0.02/ 0.01/ 0.00/
ABVC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.05/ 0.11/ 0.04/ 0.00/ 0.00/ 0.00/ 0.00/
ABVC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.11/ 0.17/ 0.09/ 0.00/ 0.00/ 0.00/ 0.00/
ADLC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.01/
ARCC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.02/
ARGC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.13/ 0.14/ 0.06/ 0.03/ 0.00/ 0.00/ 0.00/
ARGC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.12/ 0.16/ 0.10/ 0.01/ 0.01/ 0.00/ 0.00/
ARNC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.03/ 0.08/ 0.04/ 0.00/ 0.01/ 0.00/ 0.00/
BCHC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.04/ 0.01/ 0.00/ 0.00/ 0.01/ 0.00/
BONC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.03/ 0.10/
BONC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.00/ 0.00/ 0.04/ 0.10/
CBAC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.05/ 0.11/ 0.04/ 0.00/ 0.00/ 0.00/ 0.00/
CBAC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.13/ 0.19/ 0.10/ 0.00/ 0.01/ 0.00/ 0.00/
CBVC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.11/ 0.16/ 0.09/ 0.00/ 0.01/ 0.00/ 0.00/
CBVC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.13/ 0.19/ 0.12/ 0.00/ 0.01/ 0.00/ 0.00/
CCAC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.13/ 0.14/ 0.05/ 0.01/ 0.00/ 0.00/ 0.00/
CCAC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.04/ 0.19/ 0.22/ 0.12/ 0.02/ 0.01/ 0.00/ 0.00/
CFMC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.00/
CHKC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.10/ 0.16/ 0.09/ 0.00/ 0.01/ 0.01/ 0.00/
CHKC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.12/ 0.18/ 0.11/ 0.00/ 0.02/ 0.01/ 0.00/
CLRC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.13/ 0.14/ 0.05/ 0.01/ 0.00/ 0.00/ 0.00/
CLVC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.02/ 0.04/ 0.02/ 0.00/ 0.06/ 0.16/
CLVC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.07/ 0.07/ 0.02/ 0.00/ 0.06/ 0.20/
CNCC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.00/
CSNC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
CSNC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
DWSC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.01/ 0.00/
FCHC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
FHAC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
FHAC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
FNEC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
FSEC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
FSEC2U 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/
FWLC2  0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.04/
FWRC2L 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.00/ 0.02/ 0.11/
