ABUS23 KWBC 220130
TPTWRN

HOURLY TEMPERATURE/WEATHER FOR WESTERN UNITED STATES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
600 PM PDT FRI OCT 21 2022

CITY                     F    C      WEATHER

ALBUQUERQUE              69   21      FAIR     
ANCHORAGE                37    3      FAIR     
BOISE                    64   18      CLDY     
CASPER                   62   17      WINDY    
FAIRBANKS                35    2      -SN      
GREAT FALLS              46    8      CLDY     
HONOLULU                 84   29      FAIR     
LAS VEGAS                82   28      FAIR     
LOS ANGELES              66   19      CLDY     
MEDFORD                  69   21      WINDY    
PENDLETON                46    8      -RA      
PHOENIX                  86   30      FAIR     
PORTLAND OR              51   11      -RA      
RENO                     71   22      WINDY    
SALT LAKE CITY           69   21      FAIR     
SAN DIEGO                71   22      CLDY     
SAN FRANCISCO            60   16      CLDY     
SEATTLE                  46    8      -RA      
SPOKANE                  42    6      CLDY     

$$ 
