ABUS25 KWBC 220030
TPTCRN

HOURLY TEMPERATURE/WEATHER FOR CENTRAL UNITED STATES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
700 PM CDT FRI OCT 21 2022

CITY                     F    C      WEATHER

BIRMINGHAM               64   18      FAIR     
BISMARCK                 55   13      FAIR     
CHICAGO                  73   23      FAIR     
DENVER                   71   22      FAIR     
DES MOINES               69   21      FAIR     
FORT WORTH               84   29      FAIR     
GALVESTON                73   23      FAIR     
INDIANAPOLIS             62   17      PCLDY    
KANSAS CITY              75   24      CLDY     
LITTLE ROCK              69   21      FAIR     
LOUISVILLE               66   19      PCLDY    
MEMPHIS                  73   23      FAIR     
MINNEAPOLIS/ST. PAUL     57   14      CLDY     
NASHVILLE                68   20      FAIR     
NEW ORLEANS              69   21      WINDY    
NORTH PLATTE             68   20      FAIR     
OKLAHOMA CITY            75   24      FAIR     
OMAHA                    64   18      PCLDY    
RAPID CITY               64   18      FAIR     
ST. LOUIS                75   24      CLDY     
SAN ANTONIO              80   27      FAIR     
SAULT STE. MARIE         51   11      FAIR     

$$ 
