ABNA26 KWBC 220030
TPTNAM

HOURLY TEMPERATURE/WEATHER FOR NORTH AMERICAN CITIES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
800 PM EDT FRI OCT 21 2022

CITY                     F    C      WEATHER

ACAPULCO                 80   27      CLDY     
BERMUDA                  77   25      -SHRA    
CALGARY                  39    4      CLDY     
FREEPORT                 77   25      WINDY    
HAVANA                   73   23      FAIR     
KINGSTON                 84   29      FAIR     
MERIDA                   75   24      PCLDY    
MEXICO CITY              64   18      CLDY     
MONTREAL                 53   12      WINDY    
NASSAU                   77   25      CLDY     
OTTAWA                   50   10      FAIR     
REGINA                   44    7      CLDY     
ST. THOMAS VI            82   28      FAIR     
SAN JUAN                 80   27      FAIR     
TORONTO                  59   15      FAIR     
WINNIPEG                 51   11      CLDY     

$$ 
