ABUS24 KWBC 220030
TPTERN

HOURLY TEMPERATURE/WEATHER FOR EASTERN UNITED STATES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
800 PM EDT FRI OCT 21 2022

CITY                     F    C      WEATHER

ALBANY NY                53   12      FAIR     
ATLANTA                  59   15      FAIR     
BOSTON                   57   14      FAIR     
BUFFALO                  57   14      FAIR     
CARIBOU                  46    8      FAIR     
CHARLESTON SC            57   14      FAIR     
CHATTANOOGA              62   17      FAIR     
CINCINNATI               57   14      FAIR     
CLEVELAND                60   16      FAIR     
DETROIT                  60   16      FAIR     
HATTERAS                 62   17      FAIR     
JACKSONVILLE             55   13      FAIR     
KEY WEST                 73   23      CLDY     
KNOXVILLE                57   14      PCLDY    
MACON                    55   13      FAIR     
MIAMI                    75   24      CLDY     
NEW YORK                 55   13      FAIR     
PHILADELPHIA             57   14      FAIR     
PITTSBURGH               55   13      FAIR     
PORTLAND ME              48    9      FAIR     
RICHMOND                 51   11      FAIR     
TAMPA                    64   18      FAIR     
WASHINGTON DC            57   14      PCLDY    

$$ 
