SHUS44 KLUB 231711
AGOLUB
Daily Temperature and Precipitation Summary...Updated
National Weather Service Lubbock TX
1211 PM CDT Sun Oct 23 2022

 The following data are for the previous 24 HRS (8AM - 8AM)
 Highs typically from the previous day.  Low can be either day.

                                                        7-8AM
                      24 HOUR  TODAY   24HR       SNOW  SNOW
  LOCATION            HI  LOW  7-8AM   PCPN       FALL  DEPTH
 Abernathy            85   57   59       0
 Aspermont            92   64   69       0
 Big Spring AWOS      88   57   64       0
 Brownfield           84   52   57       0
 Childress            92   61   68       0
 Childress ASOS       91   59   65       0
 Crosbyton            86   59   66       0
 Denver City          83   57   58       0
 Dimmitt              77   57   57       0
 Floydada             83   53   61       0
 Friona               76   55   60       0
 Guthrie              89   61   66       0
 Hart                 80   52   58       0
 Jayton                M    M    M       0
 Lake Alan Henry      87   62   66       0
 Levelland            83   53   58       0
 Littlefield 5SE      86   56   59       0
 Lubbock              85   57   63       0
 Matador              88   57   66       0
 Memphis              88   58   66       0
 Morton               83   53   57       0
 Muleshoe             80   52   62       0
 Muleshoe Refuge      82   50   60       0
 Olton                82   59   61       0
 Paducah 7E           90   61   68       0
 Paducah 15S (Grow)   88   61   66       0
 Plainview Wtr Plnt   85   53   60       0
 Plainview Dly Hrld   85   55   61       0
 Plains               82   54   58       0
 Post                 89   63   67       0
 Silverton            85   58   62       0
 Snyder               88   55   63       0         
 Spur                 89   58   63       0
 Tahoka               87   51   60       0
 Tulia                81   58   60       0
 Turkey               88   63   67       0
 Vigo Park            83   57   60       0
 White River Lake      M    M    M       0

  Automated Stations                   High Low  8AM    Rain
 Muleshoe Wildlife Refuge                82  50   60      0
 Caprock Canyons State Park RAWS         88  66   67      0
 Matador Wildlife Management Area        91  62   68      0
 Jayton RAWS                             92  63   69      0

 The following mesonet data show 24-hour highs and lows
 and precipitation 8 AM to 8 AM.
                                             
 Texas Tech West Texas Mesonet... 
                      24-HR   8AM   8AM-8AM
                      HI LOW  
 Abernathy 5NE        85  53   61       0
 Adrian 6WSW          80  58   60     0.04
 Aiken 3WSW           86  54   61       0
 Albany 3ENE          92  67   69       0
 Amarillo 15NNW       85  58   66       0
 Amarillo 7SSE        82  58   61       0
 Amarillo 9NNE        83  60   66       0
 Amherst 1NE          85  54   60       0
 Andrews 2NE          84  57   62       0
 Anton 6S             86  59   59       0
 Aspermont 3NE        93  65   67       0
 BBNP Castolon 1NW    94  56   66       0
 BBNP Persimmon Gap   91  57   60       0
 Big Lake 1WNW        86  59   61       0
 Bootleg 11WNW        80  51   58       0
 Borger 7E            83  60   66       0
 Boys Ranch 1WSW      85  54   70       0
 Brownfield 2S        85  51   55       0
 Canadian 6E          90  52   65       0
 Caprock Canyons      87  65   67       0
 Childress 2NNE       92  61   68       0
 Clarendon 2WSW       86  59   65       0
 Claude 12SW          80  64   64       0
 Clyde  2WNW          87  63   63       0
 Colorado City 5NW    90  56   61       0
 Comanche Springs     91  62   67       0
 Coyanosa             89  56   58       0
 Crane 1NNW           88  54   64       0
 Crowell 1E           93  65   70       0
 Dell City 1N         83  49   52       0
 Denver City 7W       83  57   57       0
 Dimmitt 2NE          77  58   59       0
 Doole 3WNW           92  64   67       0
 Dora NM 2SW          78  57   58       0
 Dozier 2W            90  54   66       0
 Dumas 3SE            83  56   67       0
 Earth 9WSW           85  59   62       0
 Endee NM 2SW         81  59   59       0
 Estelline 3SSE       91  62   69       0
 Floydada 2NE         85  57   60       0
 Fluvanna 3W          87  58   62       0
 Fort Chadborne       90  62   63       0
 Fort Lancaster       85  61   64       0
 Fort Lewis CO        64  28   43       0
 Fort McKavett        88  60   66       0
 Friona 2NE           77  56   59       0
 Fritch 1WNW          85  58   69       0
 Gail 2SE             90  57   64       0
 Goodlett 3W          93  62   68       0
 Goodnight            83  62   62       0
 Graham 5SW           88  58   67       0
 Guadalupe N.P.       72  64   65       0
 Guthrie 10W          89  61   66       0
 Hackberry 2SSE       90  63   69       0
 Happy 1E             81  57   59       0
 Hart 3N              82  54   59       0
 Haskell 1NW          92  62   68       0
 Hefner 1SW           93  64   70       0
 Hereford 2NW         78  55   61       0
 Hobbs NM 5NW         81  56   57       0
 Jayton 1S            92  62   69       0
 Junction 1SSW        87  59   69       0
 Kent 9E              84  60   69       0
 Knox City 3NW        92  61   67       0
 Lake Alan Henry 1NW  91  62   67       0
 Lake McClellan 2NW   85  63   64       0
 Lamesa 2SE           87  52   62       0
 Lesley 2S            90  64   68       0
 Levelland 4S         83  54   59       0
 Lipscomb 8W          89  60   69       0
 Lomax 1SSE           88  57   64       0
 Lubbock 3WNW TTU     86  61   61       0
 Lubbock 4SE          84  60   60       0
 Lubbock (Reese Ctr)  84  58   58       0
 McAdoo 3NNW          87  59   62       0
 McCamey 1SSW         91  55   64       0
 McLean 1E            86  61   63       0
 Memphis 1NE          90  60   68       0
 Menard 2NWE          88  59   68       0
 Mertzon 3NNE         89  60   64       0
 Miami 10E            87  62   64       0
 Morton 1NE           85  57   59       0
 Muleshoe 2S          83  59   60       0
 New Deal 6E          85  54   61       0
 New Home             87  51   57       0
 Northfield 1S        90  61   67       0
 O'Donnell 1N         87  51   61       0
 Odell 4ENE           95  64   68       0
 Olton 6S             84  52   58       0
 Paducah 10SW         90  60   66       0
 Paloduro 4E JA Ranch 87  63   66       0
 Palo Duro Canyon Rim 81  59   63       0
 Palo Duro Cnyn Floor 84  64   67       0
 Palo Duro Reservoir  88  53   62       0
 Pampa 2E             83  61   63       0
 Panhandle 1SSW       81  50   61       0
 Pantex 1ESE          81  61   62       0
 Plains 3N            82  54   58       0
 Plainview 1S         85  55   61       0
 Post 1NE             89  60   66       0
 Ralls 1SE            87  53   60       0
 Roaring Springs 3N   88  59   65       0
 Romero 11SSW         84  47   66       0
 Rotan 5W             91  64   69       0
 San Angelo 7NW       91  63   63       0
 Seagraves 1SW        86  53   56       0
 Segovia 7SSW         83  59   66       0
 Seminole 2N          84  55   61       0
 Seymour 3NW          95  65   71       0
 Sierra Blanca 1SSE   81  62   68       0
 Silverton 7E         85  58   62       0
 Slaton 2NE           86  56   62       0
 Smyer                84  58   58       0
 Snyder 3E            89  56   62       0
 Snyder 3SSW (WTC)    90  56   65       0
 South Plains 3ENE    85  58   61       0
 Spur 1W              89  58   63       0
 St Lawrence 5SW      89  55   62       0
 Stamford 5ESE        91  65   69       0
 Sterling City 4WNW   90  61   64       0
 Stinnett 1NNW        84  53   61       0
 Stratford 4WNW       85  43   63       0
 Sundown 8SW          85  55   58       0
 Sunray 9NNE          85  53   65       0
 Sweetwater 11SW      87  62   65       0
 Tahoka 3NE           86  51   60       0
 Tarzan 2WNW          88  55   64       0
 Tatum NM 2SW         81  56   56       0
 Texline 2N           82  54   56       0
 Throckmorton 1SW     93  68   68       0
 Truscott 2SE         91  61   67       0
 Tulia 2NE            81  58   60       0
 Turkey 2WSW          88  63   67       0
 Umbarger 3NNE        80  53   61       0
 Van Horn 3ENE        85  57   68       0
 Vega 4E              80  53   60       0
 Vigo Park            83  57   60       0
 Wall 1E              91  65   65       0
 Weinert 2NNE         92  61   69       0
 Welch                86  53   59       0
 Wellington 6SE       92  60   66       0
 White River Lk 6NW   87  63   63       0
 Wolfforth 6SW        85  56   57       0

Supplemental Precipitation...
 Childress USDA (Childress Cnty)       0
 Childress 7NW  (Childress Cnty)       0
 Kirkland 1W    (Childress Cnty)       0
 Floydada 9SE     (Floyd County)       0
 Flomot 2E    (NW Motley County)       0
 Lubbock 7WSW (77TH NR Iola)           0
 Lubbock 7SW  (90TH NR Slide)          0
 Lubbock 7SW #2 (103RD NR Slide)       0
 Northfield   (NE Motley County)       0
 Paducah 10S     (Cottle County)       0
 Roaring Springs (Motley County)       0
 Ropesville 6NNW(Hockley County)       0
 Shallowater    (Lubbock County)       0
 Slaton         (Lubbock County)       0
 Southland        (Garza County)       0
 Tell 3S        (Childress Cnty)       0
 Woodrow 3W  (154th & Indiana)         0

 Dodson 5S      (Childress Cnty)       0
 Dumont         (NW King County)       0
 Lubbock 9N     (Lubbock County)       0
 Pitchfork Ranch     (E Dickens)       0
 Reese 4E   (8th ST & Milwaukee)       0

  ..Automated USGS Rain Gauges..
 Friona 12S  Running Water Dr          0          
 Justiceburg(Garza County)             0
 Kirkland 1NNE N Grosebeck Ck          0
 Lake Alan Henry (Garza County)        0
 Lockney 10SW  Callahan Draw           0          
 Lubbock 4ESE (50TH LOOP 289)          0          
 Mackenzie Lake (Briscoe County)       0
 Silverton 7W Rock Ck Tr               0
 White River Lake (Crosby County)      0

 ------------- Agricultural Data -----------------
                                      Pan Evaporation
 Big Spring                                      M
 Lake Alan Henry                               0.63

 10-day average minimum soil temperature values at the 8" depth,
 courtesy of the West Texas Mesonet, can be viewed at:
      https://weather.gov/lub/soil-temperature


   For more information on the West Texas Mesonet go to:
      http://mesonet.ttu.edu
    https://depts.ttu.edu/nwi/research/facilities/wtm/index.php

