ABNA26 KWBC 231830
TPTNAM

HOURLY TEMPERATURE/WEATHER FOR NORTH AMERICAN CITIES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
200 PM EDT SUN OCT 23 2022

CITY                     F    C      WEATHER

ACAPULCO                 86   30      FAIR     
BERMUDA                  80   27      WINDY    
CALGARY                  33    1      CLDY     
FREEPORT                 80   27      FAIR     
HAVANA                   86   30      PCLDY    
KINGSTON                 89   32      FAIR     
MERIDA                   84   29      PCLDY    
MEXICO CITY              73   23      FAIR     
MONTREAL                 68   20      CLDY     
NASSAU                   84   29      FAIR     
OTTAWA                   69   21      PCLDY    
REGINA                   32    0      -SN      
ST. THOMAS VI            86   30      PCLDY    
SAN JUAN                 87   31      PCLDY    
TORONTO                  64   18      FAIR     
WINNIPEG                 50   10      WINDY    

$$ 
