ABUS23 KWBC 231830
TPTWRN

HOURLY TEMPERATURE/WEATHER FOR WESTERN UNITED STATES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
1100 AM PDT SUN OCT 23 2022

CITY                     F    C      WEATHER

ALBUQUERQUE              66   19      WINDY    
ANCHORAGE                28   -2      PCLDY    
BOISE                    44    7      WINDY    
CASPER                   37    3      -RA      
FAIRBANKS                28   -2      FZFG     
GREAT FALLS              32    0      -SN      
HONOLULU                 78   26      CLDY     
LAS VEGAS                60   16      WINDY    
LOS ANGELES              69   21      PCLDY    
MEDFORD                  50   10      FAIR     
PENDLETON                48    9      FAIR     
PHOENIX                  71   22      CLDY     
PORTLAND OR              53   12      CLDY     
RENO                     42    6      CLDY     
SALT LAKE CITY           42    6      CLDY     
SAN DIEGO                68   20      CLDY     
SAN FRANCISCO            60   16      FAIR     
SEATTLE                  46    8      CLDY     
SPOKANE                  42    6      FAIR     

$$ 
