ABUS23 KWBC 231930
TPTWRN

HOURLY TEMPERATURE/WEATHER FOR WESTERN UNITED STATES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
1200 PM PDT SUN OCT 23 2022

CITY                     F    C      WEATHER

ALBUQUERQUE              66   19      WINDY    
ANCHORAGE                30   -1      PCLDY    
BOISE                    48    9      FAIR     
CASPER                   37    3      CLDY     
FAIRBANKS                30   -1      -SN      
GREAT FALLS              32    0      -SN      
HONOLULU                 82   28      WINDY    
LAS VEGAS                62   17      WINDY    
LOS ANGELES              71   22      PCLDY    
MEDFORD                  51   11      CLDY     
PENDLETON                50   10      FAIR     
PHOENIX                  73   23      CLDY     
PORTLAND OR              53   12      CLDY     
RENO                     46    8      CLDY     
SALT LAKE CITY           41    5      WINDY    
SAN DIEGO                66   19      CLDY     
SAN FRANCISCO            64   18      FAIR     
SEATTLE                  48    9      CLDY     
SPOKANE                  42    6      PCLDY    

$$ 
