ABUS25 KWBC 231630
TPTCRN

HOURLY TEMPERATURE/WEATHER FOR CENTRAL UNITED STATES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
1100 AM CDT SUN OCT 23 2022

CITY                     F    C      WEATHER

BIRMINGHAM               69   21      FAIR     
BISMARCK                 48    9      FAIR     
CHICAGO                  73   23      WINDY    
DENVER                   66   19      PCLDY    
DES MOINES               69   21      WINDY    
FORT WORTH               78   26      WINDY    
GALVESTON                80   27      CLDY     
INDIANAPOLIS             71   22      WINDY    
KANSAS CITY              78   26      HZ       
LITTLE ROCK              75   24      CLDY     
LOUISVILLE               73   23      WINDY    
MEMPHIS                  73   23      WINDY    
MINNEAPOLIS/ST. PAUL     68   20      FAIR     
NASHVILLE                73   23      PCLDY    
NEW ORLEANS              78   26      WINDY    
NORTH PLATTE             71   22      WINDY    
OKLAHOMA CITY            71   22      WINDY    
OMAHA                    73   23      WINDY    
RAPID CITY               48    9      WINDY    
ST. LOUIS                69   21      WINDY    
SAN ANTONIO              78   26      CLDY     
SAULT STE. MARIE         64   18      FAIR     

$$ 
