ABUS25 KWBC 232130
TPTCRN

HOURLY TEMPERATURE/WEATHER FOR CENTRAL UNITED STATES
NWS TELECOMMUNICATION OPERATIONS CENTER SILVER SPRING MD
400 PM CDT SUN OCT 23 2022

CITY                     F    C      WEATHER

BIRMINGHAM               75   24      FAIR     
BISMARCK                 64   18      FAIR     
CHICAGO                  80   27      WINDY    
DENVER                   64   18      CLDY     
DES MOINES               82   28      WINDY    
FORT WORTH               86   30      WINDY    
GALVESTON                82   28      FAIR     
INDIANAPOLIS             77   25      WINDY    
KANSAS CITY              80   27      WINDY    
LITTLE ROCK              84   29      WINDY    
LOUISVILLE               78   26      PCLDY    
MEMPHIS                  80   27      WINDY    
MINNEAPOLIS/ST. PAUL     77   25      WINDY    
NASHVILLE                78   26      PCLDY    
NEW ORLEANS              78   26      WINDY    
NORTH PLATTE             80   27      WINDY    
OKLAHOMA CITY            80   27      WINDY    
OMAHA                    84   29      WINDY    
RAPID CITY               48    9      WINDY    
ST. LOUIS                78   26      WINDY    
SAN ANTONIO              86   30      WINDY    
SAULT STE. MARIE         69   21      FAIR     

$$ 
