SHUS61 KMWI 232025
FWOOKX
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 20:25:41 GMT
 
Listing of Forecasted Observations (New York City, NY)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
RINGWO 280311 221024 13 F 2  60  58  94 1 1 360  4  0  63  50 100  58  12   3
RINGWO 280311 221025 13 F 2  67  61  82 1 1 135  3  0  67  51 100  78   0   0
RINGWO 280311 221026 13 F 2  66  61  85 1 1 180  3  0  68  54 100  78   0   0
RINGWO 280311 221027 13 F 1  65  52  63 1 1 360  5  0  68  51 100  63   0   0
RINGWO 280311 221028 13 F 2  59  46  63 1 1  45  5  0  66  45  93  62   0   0
RINGWO 280311 221029 13 F 2  56  47  72 1 1  45  4  0  61  44  96  60   0   0
RINGWO 280311 221030 13 F 2  59  48  68 1 1  45  4  0  60  44 100  67   0   0
USMA   300712 221024 13 F 3  58  55  93 1 1  23  4  0  60  52 100  60  13   3
USMA   300712 221025 13 F 2  66  59  79 1 1 135  3  0  66  53 100  78   0   0
USMA   300712 221026 13 F 2  63  59  88 1 1 158  4  0  66  56 100  78   0   0
USMA   300712 221027 13 F 1  63  49  62 1 1 360  6  0  66  54  93  60   0   0
USMA   300712 221028 13 F 2  56  43  63 1 1  45  6  0  64  46  86  58   0   0
USMA   300712 221029 13 F 2  55  46  72 1 1  45  4  0  58  46  89  59   0   0
USMA   300712 221030 13 F 2  57  46  67 1 1 360  5  0  57  46  93  64   0   0
EASTPO 305702 221024 13 F 3  65  61  89 1 2  45  5  0  65  56 100  84  15   7
EASTPO 305702 221025 13 F 2  68  61  80 2 1 113  6  0  68  55 100  78   0   0
EASTPO 305702 221026 13 F 2  68  61  81 1 1 135  3  0  68  55 100  78   0   0
EASTPO 305702 221027 13 F 1  68  55  64 1 1 338  8  0  68  54 100  63   0   0
EASTPO 305702 221028 13 F 2  62  48  61 1 1  45 14  0  68  49  96  60   0   0
EASTPO 305702 221029 13 F 2  61  50  69 1 1  68 11  0  62  48 100  60   0   0
EASTPO 305702 221030 13 F 2  62  49  64 1 1  68  8  0  62  48 100  62   0   0
WALLKI 305803 221024 13 F 3  61  58  90 1 1  45  3  0  61  50 100  62  12   0
WALLKI 305803 221025 13 F 2  66  62  90 1 1 113  3  0  66  55 100  90   0   0
WALLKI 305803 221026 13 F 2  66  63  93 1 1 158  3  0  66  58 100  87   0   0
WALLKI 305803 221027 13 F 1  63  49  62 1 1 338  6  0  67  52 100  62   0   0
WALLKI 305803 221028 13 F 2  58  43  59 1 1  45  4  0  63  44  89  59   0   0
WALLKI 305803 221029 13 F 2  58  45  62 1 1  45  2  0  58  42  89  59   0   0
WALLKI 305803 221030 13 F 2  60  47  64 1 1  68  2  0  60  43 100  62   0   0
 
 
 
End of WIMS Bulletin @ 23-OCT-22 20:25:41 GMT

