SHUS61 KMWI 232025
FWOAKQ
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 20:25:42 GMT
 
Listing of Forecasted Observations (Wakefield, VA)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
BLACKW 182002 221024 13 F 2  63  55  77 1 1 338  6  0  63  55 100  76   0   0
BLACKW 182002 221025 13 F 2  69  59  72 1 1 180  3  0  69  56 100  71   0   0
BLACKW 182002 221026 13 F 1  71  63  76 1 1 203  6  0  71  58 100  71   0   0
BLACKW 182002 221027 13 F 1  67  54  64 1 1 338  9  0  73  55 100  63   0   0
BLACKW 182002 221028 13 F 2  63  53  72 1 1  45  9  0  69  50  96  63   0   0
BLACKW 182002 221029 13 F 2  63  54  75 1 1  68  9  0  65  51 100  70   0   0
BLACKW 182002 221030 13 F 2  64  54  72 1 1  45  6  0  65  52 100  70   0   0
POWELL 182201 221024 13 F 2  65  59  82 1 1 338  5  0  65  57 100  81   6   0
POWELL 182201 221025 13 F 2  70  61  75 1 1 113  3  0  70  56 100  73   0   0
POWELL 182201 221026 13 F 1  72  62  73 1 1 203  6  0  72  57 100  73   0   0
POWELL 182201 221027 13 F 1  68  55  65 1 1 360  9  0  74  55 100  65   0   0
POWELL 182201 221028 13 F 2  63  54  75 1 1  45 10  0  70  50 100  65   0   0
POWELL 182201 221029 13 F 2  62  55  78 1 1  68 10  0  65  51 100  73   0   0
POWELL 182201 221030 13 F 2  63  54  73 1 1  45  6  0  64  51 100  73   0   0
BUCKLA 311440 221024 13 F 2  66  56  72 1 1 360  6  0  66  55 100  71   0   0
BUCKLA 311440 221025 13 F 2  72  59  65 1 1  45  3  0  72  54 100  64   0   0
BUCKLA 311440 221026 13 F 1  75  60  60 1 1 225  5  0  75  56 100  60   0   0
BUCKLA 311440 221027 13 F 1  71  56  60 1 1  23  8  0  77  56  97  59   0   0
BUCKLA 311440 221028 13 F 2  67  54  63 1 1  23  8  0  73  52  96  59   0   0
BUCKLA 311440 221029 13 F 2  66  54  67 1 1  45  8  0  70  53 100  61   0   0
BUCKLA 311440 221030 13 F 1  67  53  61 1 1  68  6  0  68  54  96  61   0   0
