SHUS62 KMWI 232025
FWOCHS
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 20:25:42 GMT
 
Listing of Forecasted Observations (Charleston, SC)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
METTER 096301 221024 13 F 0  76  49  40 1 1  45  2  0  77  47 100  37   0   0
METTER 096301 221025 13 F 1  77  53  44 1 1 158  2  0  78  50 100  36   0   0
METTER 096301 221026 13 F 1  78  61  57 1 1 248  6  0  80  60 100  38   0   0
METTER 096301 221027 13 F 0  77  54  45 1 1  68  3  0  80  53  93  44   0   0
METTER 096301 221028 13 F 1  76  58  55 1 1  68  6  0  79  56 100  41   0   0
METTER 096301 221029 13 F 2  73  59  63 1 1  68  5  0  78  58 100  48   0   0
METTER 096301 221030 13 F 1  74  60  63 1 1 135  6  0  75  59 100  55   0   0
GLISSO 096701 221024 13 F 0  76  49  40 1 1  45  2  0  77  47 100  39   0   0
GLISSO 096701 221025 13 F 1  78  53  43 1 1 135  2  0  79  49 100  35   0   0
GLISSO 096701 221026 13 F 1  78  62  59 1 1 248  5  0  80  59 100  38   0   0
GLISSO 096701 221027 13 F 0  78  54  44 1 1  45  3  0  81  53  93  43   0   0
GLISSO 096701 221028 13 F 1  77  59  54 1 1  68  5  0  80  57 100  39   0   0
GLISSO 096701 221029 13 F 2  74  58  59 1 1  68  4  0  79  58 100  49   0   0
GLISSO 096701 221030 13 F 1  75  60  61 1 1 135  5  0  77  59 100  52   0   0
MIDWAY 096801 221024 13 F 0  76  51  43 1 1  45  3  0  77  49 100  43   0   0
MIDWAY 096801 221025 13 F 1  77  56  49 1 1 113  2  0  78  51 100  39   0   0
MIDWAY 096801 221026 13 F 1  79  65  63 1 1 225  4  0  79  60 100  45   0   0
MIDWAY 096801 221027 13 F 0  79  56  46 1 1  68  3  0  80  55  93  45   0   0
MIDWAY 096801 221028 13 F 1  78  62  59 1 1  68  5  0  79  59 100  45   0   0
MIDWAY 096801 221029 13 F 2  77  62  60 1 1  68  5  0  78  60  97  58   0   0
MIDWAY 096801 221030 13 F 2  75  62  66 1 1 113  5  0  77  60 100  58   0   0
TAYLOR 097802 221024 13 F 0  76  49  40 1 1  45  2  0  77  47 100  40   0   0
