SHUS62 KMWI 232025
FWOTBW
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 20:25:42 GMT
 
Listing of Forecasted Observations (Tampa Bay Area, FL)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
LOWER  083001 221024 13 F 1  82  59  47 1 1  45  4  0  83  56 100  40   0   0
LOWER  083001 221025 13 F 1  81  62  53 1 1 203  3  0  83  57 100  44   0   0
LOWER  083001 221026 13 F 1  80  70  73 1 1 225  6  0  81  64 100  53   0   0
LOWER  083001 221027 13 F 0  80  59  50 1 1 270  2  0  80  58  95  50   0   0
LOWER  083001 221028 13 F 1  81  63  56 1 1 158  3  0  81  60  99  50   0   0
LOWER  083001 221029 13 F 1  82  65  58 1 2 180  3  0  83  62 100  50   0   0
LOWER  083001 221030 13 F 1  80  64  59 2 1 180  6  0  82  62 100  58   0   0
SUMTER 089927 221024 13 F 1  82  63  53 1 1  45  6  0  84  62  98  44   0   0
SUMTER 089927 221025 13 F 0  83  61  49 1 1  23  2  0  83  61  96  48   0   0
SUMTER 089927 221026 13 F 1  83  66  58 1 1 248  6  0  83  64  93  47   0   0
SUMTER 089927 221027 13 F 0  83  64  53 1 1 248  2  0  83  63  98  53   0   0
SUMTER 089927 221028 13 F 1  85  64  51 1 1 113  3  0  85  64  97  50   0   0
SUMTER 089927 221029 13 F 1  85  65  53 1 2 113  3  0  85  65  95  50   0   0
SUMTER 089927 221030 13 F 1  83  64  54 2 1 180  4  0  85  65  99  52   0   0
CITRUS 089940 221024 13 F 1  81  64  58 1 1  68  5  0  83  60 100  48   0   0
CITRUS 089940 221025 13 F 1  82  63  54 1 1 315  1  0  82  60  99  53   0   0
CITRUS 089940 221026 13 F 1  82  69  65 1 1 248  6  0  82  63 100  52   0   0
CITRUS 089940 221027 13 F 0  81  64  58 1 1 248  3  0  82  62  98  58   0   0
CITRUS 089940 221028 13 F 1  84  66  55 1 1 113  2  0  84  62  99  55   0   0
CITRUS 089940 221029 13 F 1  84  67  58 1 2 135  3  0  84  64 100  55   0   0
CITRUS 089940 221030 13 F 1  81  65  60 2 1 203  4  0  84  64 100  57   0   0
HERNAN 089942 221024 13 F 1  81  65  59 1 1  68  5  0  83  60 100  48   0   0
HERNAN 089942 221025 13 F 1  82  63  54 1 1 270  2  0  82  60  99  53   0   0
HERNAN 089942 221026 13 F 1  81  68  65 1 1 248  6  0  82  63 100  53   0   0
HERNAN 089942 221027 13 F 0  81  65  60 1 1 270  3  0  82  63  98  58   0   0
HERNAN 089942 221028 13 F 1  84  66  55 1 1 135  3  0  84  62  99  55   0   0
HERNAN 089942 221029 13 F 1  83  67  59 1 1 158  3  0  84  64  99  55   0   0
HERNAN 089942 221030 13 F 1  81  66  61 1 1 203  4  0  84  65 100  59   0   0
LEVY   089943 221024 13 F 1  80  61  53 1 1  45  5  0  82  56 100  46   0   0
LEVY   089943 221025 13 F 1  81  63  55 1 1 203  2  0  81  56 100  50   0   0
LEVY   089943 221026 13 F 1  79  70  76 1 1 225  8  0  81  62 100  53   0   0
LEVY   089943 221027 13 F 0  79  61  56 1 1 338  2  0  79  57 100  56   0   0
LEVY   089943 221028 13 F 1  81  64  57 1 1 113  4  0  81  60 100  52   0   0
LEVY   089943 221029 13 F 1  82  66  59 1 2 135  3  0  83  63 100  51   0   0
LEVY   089943 221030 13 F 1  80  66  63 2 1 180  5  0  82  62 100  59   0   0
PASCO  089945 221024 13 F 1  81  65  59 1 1  68  5  0  83  60 100  48   0   0
PASCO  089945 221025 13 F 1  82  63  54 1 1 270  2  0  82  60  99  53   0   0
PASCO  089945 221026 13 F 1  81  68  65 1 1 248  6  0  82  63 100  53   0   0
PASCO  089945 221027 13 F 0  81  65  60 1 1 270  3  0  82  63  98  58   0   0
PASCO  089945 221028 13 F 1  84  66  55 1 1 135  3  0  84  62  99  55   0   0
PASCO  089945 221029 13 F 1  83  67  59 1 1 158  3  0  84  64  99  55   0   0
PASCO  089945 221030 13 F 1  81  66  61 1 1 203  4  0  84  65 100  59   0   0
CHARLO 089947 221024 13 F 1  83  67  60 1 1  68  8  0  85  64  98  49   0   0
CHARLO 089947 221025 13 F 1  82  65  57 1 1  68  3  0  83  66  94  55   0   0
CHARLO 089947 221026 13 F 1  82  67  61 1 1 248  6  0  83  67  93  55   0   0
CHARLO 089947 221027 13 F 1  81  69  67 1 1 225  4  0  82  68  98  60   0   0
CHARLO 089947 221028 13 F 1  84  67  58 1 1 158  4  0  84  67  92  58   0   0
CHARLO 089947 221029 13 F 1  84  67  58 1 1 135  5  0  84  68  97  57   0   0
CHARLO 089947 221030 13 F 1  82  67  61 1 1 203  6  0  84  67  97  57   0   0
DESOTO 089948 221024 13 F 1  83  69  63 1 1  68  8  0  85  64  98  51   0   0
DESOTO 089948 221025 13 F 1  84  66  55 1 1  45  2  0  84  65  94  55   0   0
DESOTO 089948 221026 13 F 1  84  67  58 1 1 248  5  0  84  65  93  53   0   0
DESOTO 089948 221027 13 F 1  83  70  66 1 1 225  4  0  84  67  96  57   0   0
DESOTO 089948 221028 13 F 0  85  69  59 1 1 113  4  0  86  66  94  57   0   0
DESOTO 089948 221029 13 F 1  86  69  58 1 1 113  4  0  86  67  97  56   0   0
DESOTO 089948 221030 13 F 1  83  67  60 1 1 180  5  0  86  67  97  57   0   0
HARDEE 089949 221024 13 F 1  83  69  63 1 1  68  8  0  85  64  97  50   0   0
HARDEE 089949 221025 13 F 1  84  66  55 1 1  45  2  0  84  65  94  55   0   0
HARDEE 089949 221026 13 F 1  84  67  58 1 1 248  5  0  85  65  93  52   0   0
HARDEE 089949 221027 13 F 1  83  70  66 1 1 225  4  0  85  68  97  57   0   0
HARDEE 089949 221028 13 F 0  85  68  57 1 1 113  4  0  86  65  94  56   0   0
HARDEE 089949 221029 13 F 1  85  68  58 1 1 113  4  0  86  68  95  56   0   0
HARDEE 089949 221030 13 F 1  83  67  59 1 1 180  5  0  85  67  95  57   0   0
HILLSB 089950 221024 13 F 1  82  68  63 1 1  68  6  0  84  64  98  49   0   0
HILLSB 089950 221025 13 F 1  83  65  56 1 1  68  2  0  83  64  96  55   0   0
HILLSB 089950 221026 13 F 1  83  69  64 1 1 248  6  0  83  65  97  52   0   0
HILLSB 089950 221027 13 F 1  82  69  65 1 1 248  4  0  83  66  97  62   0   0
HILLSB 089950 221028 13 F 1  84  67  58 1 1 135  3  0  84  64  96  56   0   0
HILLSB 089950 221029 13 F 1  84  69  61 1 1 135  3  0  84  66 100  54   0   0
HILLSB 089950 221030 13 F 1  82  67  61 1 1 180  4  0  84  66 100  60   0   0
LEE    089951 221024 13 F 1  84  65  54 1 1  68  8  0  86  67  94  46   0   0
LEE    089951 221025 13 F 1  84  64  52 1 1  68  4  0  84  68  92  52   0   0
LEE    089951 221026 13 F 0  83  65  56 1 1 248  6  0  84  70  88  52   0   0
LEE    089951 221027 13 F 1  82  67  61 1 1 248  4  0  83  71  93  56   0   0
LEE    089951 221028 13 F 0  85  67  55 1 1 180  5  0  85  70  90  55   0   0
LEE    089951 221029 13 F 1  85  65  53 1 1 113  6  0  85  70  92  53   0   0
LEE    089951 221030 13 F 1  83  66  57 1 1 180  6  0  85  70  93  53   0   0
MANATE 089952 221024 13 F 1  83  69  63 1 1  68  8  0  85  64  98  50   0   0
MANATE 089952 221025 13 F 1  84  66  56 1 1  68  2  0  84  65  94  55   0   0
MANATE 089952 221026 13 F 1  83  69  63 1 1 248  6  0  84  65  95  53   0   0
MANATE 089952 221027 13 F 1  83  70  65 1 1 270  4  0  83  67  97  62   0   0
MANATE 089952 221028 13 F 0  85  68  57 1 1 135  3  0  85  64  92  57   0   0
MANATE 089952 221029 13 F 1  85  69  59 1 1 135  4  0  85  66  97  57   0   0
MANATE 089952 221030 13 F 1  83  67  60 1 1 180  5  0  85  66  98  59   0   0
PINELL 089953 221024 13 F 1  81  66  61 1 1  68  5  0  83  66  96  50   0   0
PINELL 089953 221025 13 F 1  81  65  60 1 1 180  2  0  83  67  92  58   0   0
PINELL 089953 221026 13 F 1  80  69  70 1 2 225  6  0  81  69  95  59   0   0
PINELL 089953 221027 13 F 0  79  67  68 2 1 270  4  0  80  68  95  67   0   0
PINELL 089953 221028 13 F 0  80  66  64 1 1 180  3  0  80  66  91  64   0   0
PINELL 089953 221029 13 F 1  82  69  65 1 2 180  4  0  82  68  97  60   0   0
PINELL 089953 221030 13 F 1  79  67  68 2 2 203  6  0  82  68  96  64   0   0
POLK   089954 221024 13 F 1  82  64  56 1 1  45  8  0  84  65  94  43   0   0
POLK   089954 221025 13 F 1  83  61  49 1 1  23  2  0  83  64  93  49   0   0
POLK   089954 221026 13 F 1  84  65  54 1 1 248  6  0  84  65  94  49   0   0
POLK   089954 221027 13 F 1  83  65  56 1 1 225  4  0  84  66  96  54   0   0
POLK   089954 221028 13 F 1  85  64  50 1 1 113  4  0  85  66  93  50   0   0
POLK   089954 221029 13 F 1  84  64  52 1 1 113  4  0  85  67  96  50   0   0
POLK   089954 221030 13 F 1  83  64  54 1 1 180  5  0  84  67  95  52   0   0
SARASO 089955 221024 13 F 1  81  64  58 1 1  45  8  0  83  64  94  49   0   0
SARASO 089955 221025 13 F 1  81  65  59 1 1 225  5  0  82  66  89  58   0   0
SARASO 089955 221026 13 F 1  80  68  68 1 1 225  8  0  81  68  92  59   0   0
SARASO 089955 221027 13 F 1  79  66  66 1 1 270  6  0  80  68  94  66   0   0
SARASO 089955 221028 13 F 0  81  65  60 1 1 225  5  0  81  66  88  60   0   0
SARASO 089955 221029 13 F 1  82  67  61 1 2 203  6  0  82  68  92  60   0   0
SARASO 089955 221030 13 F 1  80  66  64 2 2 225  8  0  82  68  92  61   0   0
HIGHLA 089962 221024 13 F 1  82  67  62 1 1  45  8  0  84  64  99  49   0   0
HIGHLA 089962 221025 13 F 0  84  64  52 1 1  23  2  0  84  63  99  52   0   0
HIGHLA 089962 221026 13 F 0  85  65  53 1 1 248  4  0  85  64  95  52   0   0
HIGHLA 089962 221027 13 F 1  83  69  63 1 1 225  3  0  85  66  99  52   0   0
HIGHLA 089962 221028 13 F 1  85  67  56 1 1 113  3  0  85  65  95  56   0   0
HIGHLA 089962 221029 13 F 1  84  67  57 1 1 113  3  0  85  66  97  56   0   0
HIGHLA 089962 221030 13 F 1  83  67  59 1 1 158  4  0  84  65 100  57   0   0
 
 
 
End of WIMS Bulletin @ 23-OCT-22 20:25:42 GMT

