SHUS62 KMWI 232025
FWOFFC
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 20:25:42 GMT
 
Listing of Forecasted Observations (Atlanta, GA)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
ARMUCH 090201 221024 13 F 1  73  49  44 1 1 158  6  0  73  46  89  34   0   0
ARMUCH 090201 221025 13 F 2  72  55  56 1 2 158 11  0  74  52  89  41   0   0
ARMUCH 090201 221026 13 F 1  62  50  65 2 2 315  6  0  73  49 100  55   0   0
ARMUCH 090201 221027 13 F 0  68  51  55 1 1  68  5  0  68  47  98  55   0   0
ARMUCH 090201 221028 13 F 1  70  54  57 1 1 135  8  0  70  49  98  51   0   0
ARMUCH 090201 221029 13 F 2  65  54  70 1 1 113  8  0  72  54  90  53   0   0
ARMUCH 090201 221030 13 F 2  63  56  79 1 1 135  9  0  66  53 100  67   0   0
COHUTT 090402 221024 13 F 1  73  47  40 1 1 180  4  0  73  49  76  32   0   0
COHUTT 090402 221025 13 F 2  71  52  52 1 2 158 10  0  74  53  77  39   0   0
COHUTT 090402 221026 13 F 1  60  49  67 2 2 315  5  0  72  51  95  51   0   0
COHUTT 090402 221027 13 F 0  67  50  55 1 1 360  4  0  67  47  93  55   0   0
COHUTT 090402 221028 13 F 1  69  52  55 1 1 158  6  0  69  50  91  51   0   0
COHUTT 090402 221029 13 F 2  64  53  69 1 1 135  6  0  70  53  85  52   0   0
COHUTT 090402 221030 13 F 2  62  55  79 1 1 158  9  0  65  53  93  67   0   0
TOCCOA 090601 221024 13 F 1  69  44  42 1 1 180  4  0  70  42  91  33   0   0
TOCCOA 090601 221025 13 F 2  66  50  58 1 2 158  9  0  70  45  94  42   0   0
TOCCOA 090601 221026 13 F 1  59  48  69 2 2 293  6  0  67  48 100  58   0   0
TOCCOA 090601 221027 13 F 0  65  47  54 1 1 135  4  0  65  41 100  54   0   0
TOCCOA 090601 221028 13 F 1  64  51  63 1 1 135  6  0  67  46  96  52   0   0
TOCCOA 090601 221029 13 F 2  60  51  73 1 1 113  6  0  65  48  97  60   0   0
TOCCOA 090601 221030 13 F 2  58  53  85 1 1 135  9  0  61  48 100  71   0   0
BRASST 090701 221024 13 F 1  65  44  47 1 1 158  4  0  66  46  78  36   0   0
BRASST 090701 221025 13 F 2  63  49  61 1 1 158  8  0  66  48  82  46   0   0
BRASST 090701 221026 13 F 1  59  48  67 1 1 293  8  0  64  51  95  61   0   0
BRASST 090701 221027 13 F 0  63  47  56 1 1 135  5  0  63  45  88  56   0   0
BRASST 090701 221028 13 F 1  60  49  67 1 1 113  9  0  64  49  88  54   0   0
BRASST 090701 221029 13 F 2  57  49  76 1 1 113  9  0  61  51  85  65   0   0
BRASST 090701 221030 13 F 2  56  52  87 1 1 113 16  0  58  50  93  76   0   0
DAWSON 091101 221024 13 F 1  73  51  46 1 1 135  4  0  73  45  97  34   0   0
DAWSON 091101 221025 13 F 2  71  55  57 1 2 158  8  0  74  47 100  44   0   0
DAWSON 091101 221026 13 F 1  66  53  63 2 2 270  8  0  72  52 100  56   0   0
DAWSON 091101 221027 13 F 0  69  52  55 1 1  90  6  0  69  46 100  55   0   0
DAWSON 091101 221028 13 F 1  68  55  65 1 1  90  8  0  71  51  93  51   0   0
DAWSON 091101 221029 13 F 2  64  55  73 1 1  90  8  0  69  53  92  60   0   0
DAWSON 091101 221030 13 F 2  62  57  85 1 1  90  8  0  65  53 100  70   0   0
CAMP M 091201 221024 13 F 1  67  48  52 1 1 158  3  0  68  43  89  38   0   0
CAMP M 091201 221025 13 F 2  65  52  65 1 2 158  6  0  68  47  89  51   0   0
CAMP M 091201 221026 13 F 1  60  51  73 2 2 293  5  0  66  49  99  65   0   0
CAMP M 091201 221027 13 F 0  65  51  61 1 1 113  4  0  65  42  99  61   0   0
CAMP M 091201 221028 13 F 1  63  52  68 1 1 113  6  0  66  48  91  59   0   0
CAMP M 091201 221029 13 F 2  59  53  81 1 1 113  8  0  64  49  90  66   0   0
CAMP M 091201 221030 13 F 2  58  54  89 1 1 113  9  0  60  49 100  80   0   0
DALLAS 092201 221024 13 F 1  74  51  45 1 1 135  6  0  74  45 100  31   0   0
DALLAS 092201 221025 13 F 2  73  54  53 1 2 158 11  0  75  49  99  43   0   0
DALLAS 092201 221026 13 F 1  65  51  61 2 2 293 10  0  75  51 100  51   0   0
DALLAS 092201 221027 13 F 0  70  51  52 1 1  90  6  0  70  46 100  52   0   0
DALLAS 092201 221028 13 F 1  71  55  57 1 1 113 10  0  72  50  98  49   0   0
DALLAS 092201 221029 13 F 2  66  55  68 1 1  90 10  0  72  54  92  53   0   0
DALLAS 092201 221030 13 F 2  64  57  79 1 1 113  9  0  67  53 100  64   0   0
WATKIN 092702 221024 13 F 1  75  49  40 1 1  90  3  0  76  45 100  34   0   0
WATKIN 092702 221025 13 F 1  74  53  48 1 1 158  5  0  77  47 100  38   0   0
WATKIN 092702 221026 13 F 0  71  53  54 1 1 270  8  0  76  56 100  45   0   0
WATKIN 092702 221027 13 F 0  72  51  49 1 1  90  6  0  73  48  98  49   0   0
WATKIN 092702 221028 13 F 1  71  55  57 1 1  90  8  0  74  53  94  46   0   0
WATKIN 092702 221029 13 F 2  67  55  66 1 1  68  8  0  73  54  92  53   0   0
WATKIN 092702 221030 13 F 2  66  58  77 1 1  90  8  0  68  55 100  63   0   0
NEWNAN 092901 221024 13 F 1  74  51  46 1 1 158  3  0  74  44 100  33   0   0
NEWNAN 092901 221025 13 F 2  74  56  54 1 2 180  9  0  75  49 100  44   0   0
NEWNAN 092901 221026 13 F 1  66  52  61 2 2 293  6  0  76  51 100  52   0   0
NEWNAN 092901 221027 13 F 0  70  52  54 1 1  90  4  0  70  46 100  54   0   0
NEWNAN 092901 221028 13 F 1  71  55  57 1 1 113  8  0  73  50 100  49   0   0
NEWNAN 092901 221029 13 F 2  67  56  70 1 1  90  8  0  73  54  97  52   0   0
NEWNAN 092901 221030 13 F 2  65  58  79 1 1 158  6  0  68  54 100  67   0   0
WASHIN 093501 221024 13 F 1  77  47  35 1 1  90  3  0  77  46 100  34   0   0
WASHIN 093501 221025 13 F 1  75  51  43 1 1 158  5  0  77  48  99  34   0   0
WASHIN 093501 221026 13 F 1  72  53  52 1 1 270  8  0  76  59  95  42   0   0
WASHIN 093501 221027 13 F 0  72  50  46 1 1  68  6  0  73  51  88  46   0   0
WASHIN 093501 221028 13 F 1  71  53  54 1 1  68  6  0  74  53  90  44   0   0
WASHIN 093501 221029 13 F 2  67  54  63 1 1  68  8  0  72  55  87  50   0   0
WASHIN 093501 221030 13 F 2  67  55  66 1 1  90  8  0  68  56  96  60   0   0
MILLED 093601 221024 13 F 1  78  53  42 1 1  90  3  0  78  46 100  37   0   0
MILLED 093601 221025 13 F 1  77  54  46 1 1 158  5  0  79  48 100  39   0   0
MILLED 093601 221026 13 F 0  74  56  54 1 1 270  5  0  79  60 100  43   0   0
MILLED 093601 221027 13 F 0  74  54  50 1 1  68  5  0  76  50  98  50   0   0
MILLED 093601 221028 13 F 1  74  58  58 1 1  90  6  0  77  53  99  46   0   0
MILLED 093601 221029 13 F 2  70  58  68 1 1  90  6  0  76  56  95  54   0   0
MILLED 093601 221030 13 F 2  69  61  77 1 1 135  6  0  71  57 100  64   0   0
OCONEE 093701 221024 13 F 1  76  52  44 1 1 113  1  0  76  46 100  36   0   0
OCONEE 093701 221025 13 F 1  76  54  48 1 2 158  3  0  77  49 100  41   0   0
OCONEE 093701 221026 13 F 0  72  55  56 2 2 270  4  0  78  57 100  45   0   0
OCONEE 093701 221027 13 F 0  73  53  51 1 1  90  3  0  73  48 100  50   0   0
OCONEE 093701 221028 13 F 1  73  57  59 1 1  90  5  0  75  53  99  47   0   0
OCONEE 093701 221029 13 F 2  69  58  68 1 1  90  5  0  75  56  94  54   0   0
OCONEE 093701 221030 13 F 2  67  60  79 1 1 135  5  0  70  56  99  63   0   0
BRENDE 094301 221024 13 F 1  76  53  46 1 1 113  1  0  76  46 100  39   0   0
BRENDE 094301 221025 13 F 1  76  56  51 1 2 158  4  0  77  49  99  43   0   0
BRENDE 094301 221026 13 F 0  72  55  57 2 2 270  4  0  78  57 100  47   0   0
BRENDE 094301 221027 13 F 0  73  54  53 1 1  90  4  0  74  48 100  51   0   0
BRENDE 094301 221028 13 F 1  73  57  59 1 1  90  5  0  75  53 100  49   0   0
BRENDE 094301 221029 13 F 2  69  58  70 1 1  90  5  0  75  56  95  54   0   0
BRENDE 094301 221030 13 F 2  67  60  81 1 1 135  6  0  71  56 100  66   0   0
LOUISV 094501 221024 13 F 1  76  49  39 1 1  45  3  0  78  46 100  38   0   0
LOUISV 094501 221025 13 F 1  76  53  45 1 1 158  3  0  77  47 100  38   0   0
LOUISV 094501 221026 13 F 1  75  57  55 1 1 248  8  0  78  60 100  41   0   0
LOUISV 094501 221027 13 F 0  75  53  48 1 1  68  6  0  76  51  96  48   0   0
LOUISV 094501 221028 13 F 1  73  57  58 1 1  68  8  0  77  54  99  45   0   0
LOUISV 094501 221029 13 F 2  70  58  67 1 1  68  8  0  75  56  97  53   0   0
LOUISV 094501 221030 13 F 2  70  59  70 1 1 113  8  0  71  58 100  63   0   0
AMERIC 095501 221024 13 F 0  78  51  39 1 1 113  5  0  78  48 100  30   0   0
AMERIC 095501 221025 13 F 1  78  53  42 1 2 180  9  0  79  52  97  35   0   0
AMERIC 095501 221026 13 F 0  74  50  43 2 2 293  8  0  80  60  97  40   0   0
AMERIC 095501 221027 13 F 0  74  47  39 1 1  68  5  0  75  49  95  39   0   0
AMERIC 095501 221028 13 F 1  76  53  46 1 1  90  8  0  77  53  99  36   0   0
AMERIC 095501 221029 13 F 2  72  54  54 1 1  90  9  0  78  59  88  42   0   0
AMERIC 095501 221030 13 F 2  71  56  60 1 1 158  9  0  73  57  98  52   0   0
BYROMV 095701 221024 13 F 0  78  51  40 1 1 113  4  0  78  47 100  33   0   0
BYROMV 095701 221025 13 F 1  78  54  44 1 2 180  9  0  79  50  99  35   0   0
BYROMV 095701 221026 13 F 0  74  52  47 2 2 270  8  0  80  60 100  41   0   0
BYROMV 095701 221027 13 F 0  73  49  44 1 1  68  5  0  75  49  98  42   0   0
BYROMV 095701 221028 13 F 1  76  54  48 1 1  90  8  0  76  53 100  40   0   0
BYROMV 095701 221029 13 F 2  72  57  60 1 1  90  9  0  78  58  95  43   0   0
BYROMV 095701 221030 13 F 2  70  58  66 1 1 158  9  0  73  58 100  55   0   0
MCRAE  096201 221024 13 F 1  79  50  37 1 1  68  2  0  79  47 100  36   0   0
MCRAE  096201 221025 13 F 1  78  52  41 1 1 158  3  0  80  48 100  34   0   0
MCRAE  096201 221026 13 F 1  77  56  49 1 2 270  5  0  81  60 100  37   0   0
MCRAE  096201 221027 13 F 0  76  51  42 1 1  68  3  0  78  50  95  42   0   0
MCRAE  096201 221028 13 F 1  77  57  51 1 1  90  6  0  79  54 100  37   0   0
MCRAE  096201 221029 13 F 2  74  57  57 1 1  90  5  0  79  58  95  46   0   0
MCRAE  096201 221030 13 F 2  74  59  60 1 1 135  6  0  75  58 100  54   0   0
 
 
 
End of WIMS Bulletin @ 23-OCT-22 20:25:42 GMT

