SHUS63 KMWI 232112
FWOTOP
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:12:58 GMT
 
Listing of Forecasted Observations (Topeka, KS)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
SCANDI 140801 221024 13 F 2  56  27  33 3 3 293 11  0  91  52  59  24   0   0
SCANDI 140801 221025 13 F 0  59  25  27 1 1 315 10  0  60  35  72  25   0   0
SCANDI 140801 221026 13 F 1  60  27  29 1 1 158 11  0  61  35  69  23   0   0
SCANDI 140801 221027 13 F 2  60  37  43 1 1 180 13  0  61  43  73  27   0   0
SCANDI 140801 221028 13 F 1  56  33  43 1 1 360  8  0  60  40  89  42   0   0
SCANDI 140801 221029 13 F 1  58  32  38 1 1 180  7  0  58  35  92  37   0   0
WASHIN 140901 221024 13 F 2  57  32  40 3 3 293 11  0  88  54  69  31   0   0
WASHIN 140901 221025 13 F 0  57  25  29 1 1 338  9  0  57  36  72  29   0   0
WASHIN 140901 221026 13 F 1  60  30  32 1 1 135  9  0  60  35  72  26   0   0
WASHIN 140901 221027 13 F 2  59  38  47 1 1 180 13  0  61  43  73  29   0   0
WASHIN 140901 221028 13 F 1  56  37  49 1 1  23  7  0  60  40  92  44   0   0
WASHIN 140901 221029 13 F 1  58  35  42 1 1 180  6  0  58  35  96  42   0   0
HIAWAT 141201 221024 13 F 2  58  45  62 2 3 293  9  0  86  58  78  40   0   5
HIAWAT 141201 221025 13 F 1  56  33  43 1 1 338 13  0  58  38  80  42   0   0
HIAWAT 141201 221026 13 F 1  60  35  39 1 1 113  8  0  60  36  75  38   0   0
HIAWAT 141201 221027 13 F 2  60  39  46 1 1 158 16  0  61  42  82  38   0   0
HIAWAT 141201 221028 13 F 1  56  42  61 1 1  23 10  0  60  41  96  46   0   0
HIAWAT 141201 221029 13 F 1  58  40  52 1 1 135  9  0  58  36 100  51   0   0
CLAY   142101 221024 13 F 2  58  37  46 3 3 315 11  0  88  55  70  32   0   0
CLAY   142101 221025 13 F 0  60  28  30 1 1 338 10  0  61  37  75  29   0   0
CLAY   142101 221026 13 F 1  62  31  32 1 1 135 11  0  62  36  75  26   0   0
CLAY   142101 221027 13 F 2  61  40  47 1 1 180 14  0  63  43  76  30   0   0
CLAY   142101 221028 13 F 1  57  40  53 1 1 360  8  0  62  41  96  46   0   0
CLAY   142101 221029 13 F 1  59  37  45 1 1 180  7  0  59  36 100  45   0   0
ASHLAN 142201 221024 13 F 2  57  42  58 3 3 315  8  0  85  56  73  36   0   0
ASHLAN 142201 221025 13 F 0  60  29  31 1 1 338 10  0  62  38  76  27   0   0
ASHLAN 142201 221026 13 F 1  64  31  30 1 1 135  7  0  65  35  78  25   0   0
ASHLAN 142201 221027 13 F 2  61  40  47 1 1 180 13  0  66  42  79  27   0   0
ASHLAN 142201 221028 13 F 1  58  41  55 1 1  23  7  0  63  41  96  41   0   0
ASHLAN 142201 221029 13 F 1  60  38  45 1 1 158  6  0  61  37 100  41   0   0
MANHAT 142202 221024 13 F 2  57  43  60 3 3 315  8  0  85  56  73  37   0   0
MANHAT 142202 221025 13 F 0  59  29  32 1 1 338  9  0  59  40  70  32   0   0
MANHAT 142202 221026 13 F 1  62  31  32 1 1 135  7  0  62  38  73  29   0   0
MANHAT 142202 221027 13 F 2  60  40  48 1 1 158 12  0  63  44  76  30   0   0
MANHAT 142202 221028 13 F 1  57  41  56 1 1  23  6  0  61  43  93  47   0   0
MANHAT 142202 221029 13 F 1  59  37  45 1 1 158  5  0  59  38 100  45   0   0
ROCKY  142203 221024 13 F 2  57  43  61 3 3 315  9  0  85  56  84  37   0   0
ROCKY  142203 221025 13 F 0  59  29  32 1 1 338  9  0  59  40  70  32   0   0
ROCKY  142203 221026 13 F 1  62  31  31 1 1 135  7  0  62  38  73  28   0   0
ROCKY  142203 221027 13 F 2  60  39  47 1 1 158 12  0  63  44  76  30   0   0
ROCKY  142203 221028 13 F 1  56  41  57 1 1  23  6  0  61  43  93  46   0   0
ROCKY  142203 221029 13 F 1  59  37  45 1 1 158  5  0  59  38 100  45   0   0
ROCK S 143501 221024 13 F 2  57  42  58 3 3 315  9  0  87  56  75  34   0   0
ROCK S 143501 221025 13 F 0  59  27  30 1 1 338 11  0  60  39  70  30   0   0
ROCK S 143501 221026 13 F 1  63  31  30 1 1 135  9  0  63  37  72  27   0   0
