SHUS64 KMWI 232025
FWOMRX
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 20:25:43 GMT
 
Listing of Forecasted Observations (Knoxville/Tri-Cities, TN)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
TUSQUI 315602 221024 13 F 1  73  47  40 1 1 180  2  0  73  43  96  29   0   0
TUSQUI 315602 221025 13 F 2  72  51  49 1 1 180  6  0  73  47  89  39   0   0
TUSQUI 315602 221026 13 F 1  65  56  73 1 1 270  3  0  72  51 100  49   3   1
TUSQUI 315602 221027 13 F 1  70  53  55 1 1 315  2  0  70  43 100  55   0   0
TUSQUI 315602 221028 13 F 1  69  55  61 1 1 158  4  0  70  46 100  55   0   0
TUSQUI 315602 221029 13 F 2  63  53  72 1 1 158  4  0  69  48 100  59   2   1
BISO-N 400902 221024 13 F 1  71  44  38 1 1 180  4  0  71  47  83  32   0   0
BISO-N 400902 221025 13 F 2  70  49  49 1 1 180  9  0  73  51  83  35   0   0
BISO-N 400902 221026 13 F 2  61  49  67 1 1 270  5  0  72  49 100  47   3   1
BISO-N 400902 221027 13 F 1  61  49  65 1 1  45  3  0  61  44 100  65   0   0
BISO-N 400902 221028 13 F 2  66  52  61 1 1 180  3  0  66  45 100  58   0   0
BISO-N 400902 221029 13 F 2  61  51  70 1 1 158  4  0  68  47 100  54   2   1
CHUCK  403101 221024 13 F 1  71  44  39 1 1 180  2  0  72  44  93  33   0   0
CHUCK  403101 221025 13 F 1  71  49  46 1 1 180  5  0  73  47  93  37   0   0
CHUCK  403101 221026 13 F 2  62  52  70 1 1 270  3  0  73  52 100  44   3   1
CHUCK  403101 221027 13 F 1  63  48  60 1 1  45  2  0  64  46 100  60   0   0
CHUCK  403101 221028 13 F 1  68  52  57 1 1 158  2  0  68  46 100  56   0   0
CHUCK  403101 221029 13 F 2  63  51  67 1 1 113  2  0  69  49 100  53   2   1
HAMBLE 403301 221024 13 F 1  72  44  37 1 1  90  2  0  73  44  93  31   0   0
HAMBLE 403301 221025 13 F 1  73  47  40 1 1 180  4  0  75  48  93  33   0   0
HAMBLE 403301 221026 13 F 2  64  54  70 1 1 270  5  0  75  55  96  38   2   1
HAMBLE 403301 221027 13 F 1  65  49  58 1 1  68  4  0  66  47 100  58   0   0
HAMBLE 403301 221028 13 F 1  69  52  55 1 1 113  3  0  69  48 100  52   0   0
HAMBLE 403301 221029 13 F 2  63  53  70 1 1  90  5  0  71  51  96  47   2   1
NOLICH 403602 221024 13 F 1  70  41  36 1 1  23  1  0  71  44  82  30   0   0
NOLICH 403602 221025 13 F 1  70  45  41 1 1 180  3  0  72  46  89  34   0   0
NOLICH 403602 221026 13 F 2  62  52  72 1 1 270  2  0  72  52  96  38   2   1
NOLICH 403602 221027 13 F 1  63  48  60 1 1  45  2  0  63  45 100  60   0   0
NOLICH 403602 221028 13 F 1  66  48  54 1 1 158  3  0  66  46  96  54   0   0
NOLICH 403602 221029 13 F 2  59  49  72 1 1 180  3  0  68  48 100  51   2   1
WATAUG 403604 221024 13 F 1  69  43  40 1 1 338  2  0  69  46  77  34   0   0
WATAUG 403604 221025 13 F 1  69  46  45 1 1 180  4  0  69  48  86  40   0   0
WATAUG 403604 221026 13 F 2  61  55  81 1 1 270  5  0  69  53  96  45   2   1
WATAUG 403604 221027 13 F 1  61  49  67 1 1  45  3  0  61  48  96  67   1   0
WATAUG 403604 221028 13 F 2  64  49  60 1 1 158  3  0  64  47  93  60   0   0
WATAUG 403604 221029 13 F 2  56  51  86 1 1 158  5  0  64  51  93  60   2   1
LENOIR 405101 221024 13 F 1  72  45  39 1 1 203  2  0  72  45  93  30   0   0
LENOIR 405101 221025 13 F 2  73  51  46 1 1 203  6  0  74  49  89  37   0   0
LENOIR 405101 221026 13 F 2  64  52  67 1 1 270  5  0  75  54 100  44   3   1
LENOIR 405101 221027 13 F 1  66  50  58 1 1  45  4  0  66  47 100  58   0   0
LENOIR 405101 221028 13 F 1  68  53  59 1 1 158  3  0  68  48 100  52   0   0
LENOIR 405101 221029 13 F 2  64  52  67 1 1  68  5  0  70  51 100  55   2   1
BLEDSO 407102 221024 13 F 1  70  45  41 1 1 180  5  0  70  46  89  32   0   0
BLEDSO 407102 221025 13 F 2  69  50  51 1 1 180 11  0  71  51  86  39   0   0
BLEDSO 407102 221026 13 F 1  59  48  69 1 1 293  5  0  71  48 100  49   3   1
BLEDSO 407102 221027 13 F 1  63  48  60 1 1  68  4  0  63  44 100  60   0   0
BLEDSO 407102 221028 13 F 1  66  52  61 1 1 180  5  0  66  46 100  54   0   0
BLEDSO 407102 221029 13 F 2  61  49  67 1 1 158  6  0  67  47 100  56   2   1
MEIGS  407301 221024 13 F 1  73  49  43 1 1 203  4  0  74  45  96  28   0   0
MEIGS  407301 221025 13 F 2  74  53  48 1 1 180 11  0  75  50  93  38   0   0
MEIGS  407301 221026 13 F 1  66  53  65 1 1 270  5  0  76  53 100  46   3   1
MEIGS  407301 221027 13 F 1  68  52  57 1 1  45  5  0  68  47 100  57   0   0
MEIGS  407301 221028 13 F 1  70  55  59 1 1 180  5  0  70  48 100  53   0   0
MEIGS  407301 221029 13 F 2  67  54  63 1 1 135  6  0  72  50 100  53   2   1
TELLIC 407502 221024 13 F 1  74  44  35 1 1 225  2  0  74  47  74  28   0   0
TELLIC 407502 221025 13 F 2  74  50  43 1 1 180  6  0  74  50  77  35   0   0
TELLIC 407502 221026 13 F 2  65  54  68 1 1 270  5  0  74  53  96  43   3   1
TELLIC 407502 221027 13 F 1  69  51  53 1 1  23  3  0  69  46 100  53   0   0
TELLIC 407502 221028 13 F 2  70  53  55 1 1 203  3  0  70  48  93  53   0   0
TELLIC 407502 221029 13 F 2  64  52  67 1 1 180  4  0  70  49  96  55   2   1
INDIAN 407603 221024 13 F 1  72  44  37 1 1 270  3  0  72  50  61  29   0   0
INDIAN 407603 221025 13 F 1  71  48  44 1 1 180  6  0  73  51  71  37   0   0
INDIAN 407603 221026 13 F 2  62  53  75 1 1 270  5  0  73  56  83  44   3   1
INDIAN 407603 221027 13 F 1  66  49  56 1 1  23  4  0  66  49  83  56   0   0
INDIAN 407603 221028 13 F 1  69  52  55 1 1 180  5  0  69  50  80  54   0   0
INDIAN 407603 221029 13 F 2  61  51  72 1 1 248  6  0  69  52  83  55   2   1
PRENTI 409201 221024 13 F 1  68  48  49 1 1 180  4  0  69  48  83  32   0   0
PRENTI 409201 221025 13 F 2  68  53  59 1 1 180 11  0  70  52  83  44   0   0
PRENTI 409201 221026 13 F 1  59  52  78 1 1 293  4  0  70  52  96  57   3   1
PRENTI 409201 221027 13 F 1  64  51  63 1 1  68  4  0  64  47  96  63   0   0
PRENTI 409201 221028 13 F 1  64  52  67 1 1 158  4  0  66  49  96  56   0   0
PRENTI 409201 221029 13 F 1  60  52  75 1 1 135  5  0  67  51  93  61   2   1
OCOEE  409502 221024 13 F 1  74  46  38 1 1 203  3  0  74  47  86  27   0   0
OCOEE  409502 221025 13 F 2  73  52  48 1 1 180  9  0  75  52  80  34   0   0
OCOEE  409502 221026 13 F 1  65  52  65 1 1 270  5  0  75  55 100  45   3   1
OCOEE  409502 221027 13 F 1  68  50  54 1 1  23  4  0  68  47 100  54   0   0
OCOEE  409502 221028 13 F 1  70  53  55 1 1 180  4  0  70  49  96  49   0   0
OCOEE  409502 221029 13 F 2  65  52  65 1 1 158  5  0  72  51  96  49   2   1
FLATWO 448502 221024 13 F 1  67  41  39 1 1 180  2  0  67  45  79  34   0   0
FLATWO 448502 221025 13 F 1  65  43  45 1 1 180  6  0  68  46  89  37   0   0
FLATWO 448502 221026 13 F 2  58  50  77 1 1 248  6  0  68  53  90  42   3   1
FLATWO 448502 221027 13 F 1  56  47  72 1 1  45  4  0  59  46 100  69   1   0
FLATWO 448502 221028 13 F 1  61  47  62 1 1 158  4  0  61  46  93  62   0   0
FLATWO 448502 221029 13 F 2  56  47  74 1 1 180  6  0  63  48 100  54   2   1
 
 
 
End of WIMS Bulletin @ 23-OCT-22 20:25:43 GMT

