SHUS64 KMWI 232131
FWOLZK
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:25 GMT
 
Listing of Forecasted Observations (Little Rock, AR)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
EVENIN 031502 221024 13 F 2  75  62  64 1 1 180 11  0  80  62  93  52   0   0
EVENIN 031502 221025 13 F 2  61  57  87 1 1 270  9  0  77  61 100  58  11   8
EVENIN 031502 221026 13 F 0  64  42  46 1 1  23  5  0  64  40 100  45   4   0
EVENIN 031502 221027 13 F 1  63  47  56 1 1 113  4  0  66  38 100  40   0   0
EVENIN 031502 221028 13 F 2  64  52  65 1 1  68  4  0  65  41 100  50   0   1
EVENIN 031502 221029 13 F 1  62  49  64 1 1  45  7  0  66  46 100  58   3   2
EVENIN 031502 221030 13 F 1  63  49  62 1 1  23  6  0  64  45 100  61   1   0
DEVILS 032001 221024 13 F 8  64  63  99 1 1 158 20  0  74  62 100  57   0   2
DEVILS 032001 221025 13 F 2  50  46  88 1 1 315 16  0  66  48 100  84  16   6
DEVILS 032001 221026 13 F 0  59  38  46 1 1  68  6  0  60  43  89  43   0   0
DEVILS 032001 221027 13 F 1  58  43  59 1 1 158 10  0  61  44  79  42   0   0
DEVILS 032001 221028 13 F 2  57  48  73 1 1  90  6  0  59  48  88  53   2   2
DEVILS 032001 221029 13 F 1  56  45  69 1 1  45 11  0  59  48  90  65   3   1
DEVILS 032001 221030 13 F 1  58  45  63 1 1 315  8  0  59  48  89  59   0   0
BOONEV 033001 221024 13 F 8  74  65  74 1 1 180 13  0  84  64 100  48   0   2
BOONEV 033001 221025 13 F 2  57  48  73 1 1 293 13  0  75  55 100  71  16   2
BOONEV 033001 221026 13 F 0  66  42  42 1 1  45  5  0  67  39 100  41   0   0
BOONEV 033001 221027 13 F 1  66  46  50 1 1 135  7  0  69  40 100  36   0   0
BOONEV 033001 221028 13 F 2  63  51  66 1 1  90  6  0  69  44 100  42   2   2
BOONEV 033001 221029 13 F 1  63  49  61 1 1  23  7  0  65  46 100  59   3   0
BOONEV 033001 221030 13 F 1  65  48  56 1 1 315  8  0  65  45 100  55   0   0
GUY    033202 221024 13 F 2  75  60  60 1 1 180 14  0  81  64  90  46   0   0
GUY    033202 221025 13 F 2  60  50  72 1 1 270 12  0  77  60 100  54  11   6
GUY    033202 221026 13 F 0  64  41  43 1 1  23  6  0  64  43  93  43   1   0
GUY    033202 221027 13 F 0  64  45  50 1 1 113  5  0  66  43  96  37   0   0
GUY    033202 221028 13 F 2  64  48  57 1 1  90  6  0  66  46 100  43   0   2
GUY    033202 221029 13 F 1  64  48  56 1 1  45  8  0  66  51  96  54   3   1
GUY    033202 221030 13 F 1  64  47  55 1 1 360  8  0  65  48 100  53   0   0
ODEN   034702 221024 13 F 8  74  61  65 1 1 180 12  0  84  63 100  43   0   2
ODEN   034702 221025 13 F 1  58  45  63 1 1 293 11  0  76  55 100  60  16   2
ODEN   034702 221026 13 F 0  67  36  33 1 1  45  4  0  67  40  92  33   0   0
ODEN   034702 221027 13 F 1  67  43  43 1 1 158  6  0  69  39 100  30   0   0
ODEN   034702 221028 13 F 2  64  48  56 1 1  90  5  0  70  44 100  36   2   2
ODEN   034702 221029 13 F 1  64  47  55 1 1  23  7  0  66  46 100  52   3   0
ODEN   034702 221030 13 F 1  65  45  49 1 1 338  6  0  66  43 100  48   0   0
JESSIE 034802 221024 13 F 8  74  60  62 1 1 180 12  0  82  64  93  43   0   1
JESSIE 034802 221025 13 F 1  57  44  64 1 1 293 11  0  75  56 100  58  15   2
JESSIE 034802 221026 13 F 0  66  36  33 1 1  45  4  0  66  41  89  33   0   0
JESSIE 034802 221027 13 F 1  66  42  42 1 1 135  6  0  68  41 100  31   0   0
JESSIE 034802 221028 13 F 2  63  47  57 1 1  90  5  0  68  44 100  37   2   2
JESSIE 034802 221029 13 F 1  64  46  53 1 1  23  7  0  65  48  99  53   3   0
JESSIE 034802 221030 13 F 1  65  44  48 1 1 338  6  0  65  45 100  48   0   0
SHERID 035102 221024 13 F 2  78  62  59 1 1 180 11  0  82  64  90  49   0   0
SHERID 035102 221025 13 F 2  62  53  74 1 1 270 11  0  79  61 100  56  11   2
SHERID 035102 221026 13 F 0  65  41  43 1 1  23  5  0  65  42 100  43   0   0
SHERID 035102 221027 13 F 0  68  47  48 1 1 113  4  0  68  41 100  37   0   0
SHERID 035102 221028 13 F 2  65  52  64 1 1  90  4  0  70  45 100  41   1   2
SHERID 035102 221029 13 F 1  65  52  64 1 1  23  7  0  67  49 100  59   3   1
SHERID 035102 221030 13 F 1  65  51  62 1 1 360  5  0  66  47 100  59   0   0
NWS Office:  LZK/Zone: 834
KIAMIC 346303 221024 13 F 8  71  64  81 1 1 180 11  0  83  65  97  43   0   2
KIAMIC 346303 221025 13 F 1  57  42  59 1 1 315 10  0  71  51 100  59  16   2
KIAMIC 346303 221026 13 F 0  68  37  32 1 1  68  3  0  68  41  86  32   0   0
KIAMIC 346303 221027 13 F 1  69  43  40 1 1 158  6  0  69  41  96  32   0   0
KIAMIC 346303 221028 13 F 2  63  49  62 1 1  68  4  0  70  47 100  38   0   0
KIAMIC 346303 221029 13 F 1  64  49  60 1 1 360  4  0  64  47 100  60   0   0
KIAMIC 346303 221030 13 F 1  66  47  52 1 1 315  4  0  66  44 100  52   0   0
Count:     7  Zone Average:  66  47  55          6  0  70  48  97  45   2   1
 
 
 
End of WIMS Bulletin @ 23-OCT-22 21:31:25 GMT

