SHUS64 KMWI 232131
FWOOHX
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:25 GMT
 
Listing of Forecasted Observations (Nashville, TN)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
LAFAYE 400501 221024 13 F 1  76  45  34 1 1 180  6  0  77  51  74  32   0   0
LAFAYE 400501 221025 13 F 8  75  56  52 1 2 180 11  0  77  57  77  32   0   1
LAFAYE 400501 221026 13 F 2  61  47  60 2 1 293  4  0  75  49 100  52   5   0
LAFAYE 400501 221027 13 F 0  67  47  49 1 1  68  4  0  67  43 100  49   0   0
LAFAYE 400501 221028 13 F 1  71  51  51 1 1 158  3  0  71  46 100  47   0   0
LAFAYE 400501 221029 13 F 2  68  53  60 1 1 113  3  0  71  51  96  51   0   0
LAFAYE 400501 221030 13 F 1  67  53  61 1 1 180  6  0  68  51 100  57   0   0
PICKET 400801 221024 13 F 1  72  44  37 1 1 180  4  0  72  49  71  33   0   0
PICKET 400801 221025 13 F 2  72  52  51 1 2 180  9  0  73  53  80  35   0   0
PICKET 400801 221026 13 F 2  57  46  67 2 1 270  5  0  72  49  96  51   6   0
PICKET 400801 221027 13 F 1  64  46  52 1 1  68  4  0  64  44 100  52   0   0
PICKET 400801 221028 13 F 1  69  49  49 1 1 180  3  0  69  44 100  48   0   0
PICKET 400801 221029 13 F 2  65  49  58 1 1 113  3  0  69  49  96  47   0   0
PICKET 400801 221030 13 F 1  63  51  67 1 1 158  5  0  65  49 100  58   0   0
BURNS  402102 221024 13 F 1  77  46  34 1 1 180  8  0  77  52  71  33   0   0
BURNS  402102 221025 13 F 8  73  60  65 1 2 180 13  0  78  59  81  32   0   6
BURNS  402102 221026 13 F 1  62  46  57 2 1 315  5  0  73  47 100  56   6   0
BURNS  402102 221027 13 F 0  67  46  47 1 1  68  4  0  67  41 100  47   0   0
BURNS  402102 221028 13 F 1  71  53  53 1 1 158  4  0  71  44 100  47   0   0
BURNS  402102 221029 13 F 1  66  53  64 1 1 113  5  0  71  50 100  53   0   0
BURNS  402102 221030 13 F 1  65  52  65 1 1 180  6  0  66  48 100  63   0   0
CROSSV 405001 221024 13 F 1  71  46  41 1 1 180  4  0  71  46  83  33   0   0
CROSSV 405001 221025 13 F 2  70  54  57 1 2 158  9  0  71  52  83  38   0   0
CROSSV 405001 221026 13 F 2  57  47  71 2 1 293  5  0  70  47 100  57   6   0
CROSSV 405001 221027 13 F 0  65  47  53 1 1  68  4  0  65  43 100  52   0   0
CROSSV 405001 221028 13 F 1  67  50  56 1 1 158  4  0  68  44 100  52   0   0
CROSSV 405001 221029 13 F 2  63  51  66 1 1 135  4  0  68  48 100  52   0   0
CROSSV 405001 221030 13 F 1  61  53  75 1 1 158  6  0  63  47 100  62   0   0
MERIWE 406401 221024 13 F 1  76  45  34 1 1 180  6  0  77  51  74  32   0   0
MERIWE 406401 221025 13 F 8  73  60  64 1 2 180 12  0  78  59  84  31   0   6
MERIWE 406401 221026 13 F 1  63  46  54 2 1 315  4  0  73  46 100  54   6   0
MERIWE 406401 221027 13 F 0  68  45  45 1 1  68  4  0  68  41 100  45   0   0
MERIWE 406401 221028 13 F 1  71  53  53 1 1 158  4  0  72  45 100  45   0   0
MERIWE 406401 221029 13 F 2  67  53  61 1 1 113  4  0  72  51 100  51   0   0
MERIWE 406401 221030 13 F 1  65  52  63 1 1 180  5  0  68  49 100  59   0   0
LEWISB 406601 221024 13 F 1  76  45  34 1 1 180  8  0  77  50  77  30   0   0
LEWISB 406601 221025 13 F 8  74  58  58 1 2 180 14  0  78  57  78  30   0   2
LEWISB 406601 221026 13 F 1  61  46  58 2 1 315  4  0  75  48 100  55   6   0
LEWISB 406601 221027 13 F 0  68  48  49 1 1  45  4  0  69  44 100  47   0   0
LEWISB 406601 221028 13 F 1  71  51  51 1 1 158  4  0  73  47 100  45   0   0
LEWISB 406601 221029 13 F 2  67  53  61 1 1 113  5  0  73  52 100  49   0   0
LEWISB 406601 221030 13 F 1  65  52  64 1 1 180  6  0  68  51 100  59   0   0
BLEDSO 407102 221024 13 F 1  71  42  36 1 1 180  6  0  71  44  80  30   0   0
BLEDSO 407102 221025 13 F 2  69  53  57 1 1 180 11  0  71  50  93  36   0   0
BLEDSO 407102 221026 13 F 2  57  46  67 1 1 293  6  0  70  46 100  55   2   0
BLEDSO 407102 221027 13 F 0  64  47  54 1 1  90  5  0  64  43 100  54   0   0
BLEDSO 407102 221028 13 F 1  67  50  56 1 1 158  6  0  67  44 100  50   0   0
BLEDSO 407102 221029 13 F 2  63  51  65 1 1 135  6  0  69  48 100  51   1   1
BLEDSO 407102 221030 13 F 2  61  53  75 1 1 158  8  0  64  48 100  60   2   1
MEIGS  407301 221024 13 F 1  74  46  37 1 1 203  5  0  74  43  93  26   0   0
MEIGS  407301 221025 13 F 2  74  54  51 1 1 180  8  0  75  49  96  36   0   0
MEIGS  407301 221026 13 F 1  62  50  67 1 1 293  6  0  76  50 100  48   2   0
MEIGS  407301 221027 13 F 0  68  50  54 1 1  68  6  0  68  46 100  54   0   0
MEIGS  407301 221028 13 F 1  71  55  57 1 1 158  5  0  71  46 100  49   0   0
MEIGS  407301 221029 13 F 2  67  56  68 1 1 113  5  0  73  51 100  49   1   1
MEIGS  407301 221030 13 F 2  64  57  78 1 1 180  6  0  69  51 100  59   2   1
ARNOLD 408901 221024 13 F 1  76  45  34 1 1 180  6  0  76  49  77  32   0   0
ARNOLD 408901 221025 13 F 2  74  56  55 1 2 158 11  0  76  54  86  33   0   1
ARNOLD 408901 221026 13 F 1  62  47  60 2 1 315  5  0  74  48 100  55   5   0
ARNOLD 408901 221027 13 F 0  69  49  49 1 1  68  4  0  69  43 100  49   0   0
ARNOLD 408901 221028 13 F 1  72  53  53 1 1 158  5  0  72  46 100  47   0   0
ARNOLD 408901 221029 13 F 2  68  54  61 1 1 135  5  0  72  51 100  51   0   0
ARNOLD 408901 221030 13 F 1  65  54  68 1 1 158  7  0  68  49 100  61   0   0
PRENTI 409201 221024 13 F 1  70  45  41 1 1 158  4  0  70  48  68  28   0   0
PRENTI 409201 221025 13 F 2  68  54  63 1 1 180 11  0  71  52  86  39   0   0
PRENTI 409201 221026 13 F 1  57  48  72 1 1 315  5  0  70  49  96  61   2   0
PRENTI 409201 221027 13 F 0  64  49  60 1 1  90  4  0  64  46  96  60   0   0
PRENTI 409201 221028 13 F 1  66  53  63 1 1 158  5  0  66  48  93  54   0   0
PRENTI 409201 221029 13 F 2  62  53  75 1 1 135  5  0  68  53  89  59   1   1
PRENTI 409201 221030 13 F 2  59  55  87 1 1 158  9  0  64  51 100  70   2   1
 
 
 
End of WIMS Bulletin @ 23-OCT-22 21:31:25 GMT

