SHUS64 KMWI 232131
FWOMEG
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:25 GMT
 
Listing of Forecasted Observations (Memphis, TN)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
POINSE 032801 221024 13 F 2  76  57  52 1 1 180 13  0  80  63  84  41   0   0
POINSE 032801 221025 13 F 2  64  56  77 1 2 225 13  0  79  64 100  45   6   7
POINSE 032801 221026 13 F 0  61  41  49 2 1 360  6  0  64  45  86  48   0   0
POINSE 032801 221027 13 F 0  62  45  55 1 1  90  5  0  63  43  93  44   0   0
POINSE 032801 221028 13 F 1  64  51  64 1 1  68  5  0  65  47  96  48   0   0
POINSE 032801 221029 13 F 1  62  53  75 1 1  45  8  0  66  52  96  58   0   0
POINSE 032801 221030 13 F 1  60  52  75 1 1 360  6  0  63  50 100  70   0   0
MARRIA 034503 221024 13 F 2  79  58  49 1 1 180 10  0  81  61  90  41   0   0
MARRIA 034503 221025 13 F 2  66  57  75 1 3 225 11  0  81  65 100  44   4   7
MARRIA 034503 221026 13 F 0  64  41  44 2 1 360  4  0  66  46  93  44   0   0
MARRIA 034503 221027 13 F 0  66  45  48 1 1  68  2  0  66  43 100  41   0   0
MARRIA 034503 221028 13 F 1  67  53  61 1 1  68  2  0  68  47 100  45   0   0
MARRIA 034503 221029 13 F 1  64  55  75 1 1  45  5  0  69  52 100  57   0   0
MARRIA 034503 221030 13 F 1  63  53  72 1 1 338  3  0  65  51 100  70   0   0
WINBOR 220202 221024 13 F 1  76  56  50 1 1 180  9  0  78  54  86  40   0   0
WINBOR 220202 221025 13 F 2  66  61  84 1 3 203 11  0  78  62 100  47   0   6
WINBOR 220202 221026 13 F 0  63  44  50 2 1 338  6  0  67  43 100  50   0   0
WINBOR 220202 221027 13 F 0  66  46  50 1 1  68  4  0  66  41 100  48   0   0
WINBOR 220202 221028 13 F 1  69  53  57 1 1 113  4  0  69  46 100  47   0   0
