SHUS64 KMWI 232131
FWOHUN
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:26 GMT
 
Listing of Forecasted Observations (Huntsville, AL)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
BANKHE 010702 221024 13 F 1  74  46  38 1 1 180  5  0  74  50  77  33   0   0
BANKHE 010702 221025 13 F 8  71  61  71 1 2 180 11  0  76  60  93  38   0   2
BANKHE 010702 221026 13 F 1  62  46  56 2 1 338  5  0  72  46 100  56   6   0
BANKHE 010702 221027 13 F 0  67  48  52 1 1  45  3  0  67  44 100  52   0   0
BANKHE 010702 221028 13 F 1  71  53  53 1 1 135  5  0  71  48 100  47   0   0
BANKHE 010702 221029 13 F 2  65  54  70 1 1  90  5  0  72  55  93  51   0   0
BANKHE 010702 221030 13 F 1  65  52  65 1 1 180  6  0  66  52 100  65   0   0
LIRI   010990 221024 13 F 1  72  47  42 1 1 158  4  0  72  45  93  35   0   0
LIRI   010990 221025 13 F 2  71  56  60 1 1 158 11  0  73  51  93  41   0   0
LIRI   010990 221026 13 F 1  60  47  64 1 1 315  6  0  71  47 100  59   0   0
LIRI   010990 221027 13 F 0  66  49  55 1 1  90  4  0  66  45 100  54   0   0
LIRI   010990 221028 13 F 1  68  53  59 1 1 135  8  0  68  48 100  54   0   0
LIRI   010990 221029 13 F 2  63  54  73 1 1 113  8  0  69  52  93  57   0   0
LIRI   010990 221030 13 F 1  62  55  80 1 1 135  8  0  64  51 100  70   0   0
ARNOLD 408901 221024 13 F 1  76  45  34 1 1 180  6  0  76  49  77  32   0   0
ARNOLD 408901 221025 13 F 2  74  56  55 1 2 158 11  0  76  54  86  33   0   1
ARNOLD 408901 221026 13 F 1  62  47  60 2 1 315  5  0  74  48 100  55   5   0
ARNOLD 408901 221027 13 F 0  69  49  49 1 1  68  4  0  69  43 100  49   0   0
ARNOLD 408901 221028 13 F 1  72  53  53 1 1 158  5  0  72  46 100  47   0   0
ARNOLD 408901 221029 13 F 2  68  54  61 1 1 135  5  0  72  51 100  51   0   0
ARNOLD 408901 221030 13 F 1  65  54  68 1 1 158  7  0  68  49 100  61   0   0
 
 
 
End of WIMS Bulletin @ 23-OCT-22 21:31:26 GMT

