SHUS64 KMWI 232131
FWOFWD
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:27 GMT
 
Listing of Forecasted Observations (Dallas/Fort Worth, TX)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
CADDO  410202 221024 13 F 8  67  67 100 1 3 180 17  0  85  67 100  40   0   6
CADDO  410202 221025 13 F 0  61  43  52 3 3 315 17  0  67  50 100  51   7   0
CADDO  410202 221026 13 F 0  67  42  41 1 1  90  4  0  67  41 100  39   0   0
CADDO  410202 221027 13 F 1  68  46  46 1 1 158  8  0  68  43  96  37   0   0
CADDO  410202 221028 13 F 2  61  54  79 1 2  23  6  0  71  48 100  42   0   0
CADDO  410202 221029 13 F 1  65  50  60 1 1 360  5  0  65  49 100  60   0   0
CADDO  410202 221030 13 F 1  66  50  58 1 1 270  5  0  67  45 100  54   0   0
ATHENS 412101 221024 13 F 8  74  67  80 1 4 180 14  0  86  69  93  43   0   2
ATHENS 412101 221025 13 F 0  63  48  58 4 4 315 17  0  75  52 100  57  12   0
ATHENS 412101 221026 13 F 0  66  44  45 1 1  45  3  0  67  42 100  44   0   0
ATHENS 412101 221027 13 F 1  70  48  46 1 1 158  6  0  71  46  89  42   0   0
ATHENS 412101 221028 13 F 2  63  58  84 1 2  23  8  0  73  52 100  41   0   0
ATHENS 412101 221029 13 F 1  64  54  70 2 2 360  5  0  64  48 100  69   0   0
ATHENS 412101 221030 13 F 1  66  52  62 1 1 293  5  0  67  45 100  61   0   0
PALEST 412601 221024 13 F 3  75  67  77 1 4 180 16  0  85  68  97  40   0   0
PALEST 412601 221025 13 F 0  64  45  51 4 4 315 17  0  75  51 100  51  12   0
PALEST 412601 221026 13 F 0  68  41  38 1 1  45  4  0  68  38 100  37   0   0
PALEST 412601 221027 13 F 1  72  45  39 1 1 158  5  0  72  41 100  35   0   0
PALEST 412601 221028 13 F 2  64  57  79 1 2  45  8  0  75  51 100  34   0   0
PALEST 412601 221029 13 F 1  65  52  64 2 2 360  6  0  66  46 100  63   0   0
PALEST 412601 221030 13 F 1  67  50  55 1 1 293  5  0  68  42 100  54   0   0
ROUND  413101 221024 13 F 8  75  70  87 1 5 180 17  0  86  70  90  44   0   2
ROUND  413101 221025 13 F 0  65  48  56 5 4 315 18  0  75  53 100  56  12   0
ROUND  413101 221026 13 F 0  70  45  42 1 1  68  4  0  70  42  96  42   0   0
ROUND  413101 221027 13 F 1  72  50  47 1 1 158  6  0  73  45  93  37   0   0
ROUND  413101 221028 13 F 2  66  62  88 1 2 338  9  0  75  55 100  43   0   0
ROUND  413101 221029 13 F 1  65  54  70 2 2 360  8  0  68  48 100  70   0   0
ROUND  413101 221030 13 F 0  69  55  61 1 1 270  5  0  69  45 100  61   0   0
POSSUM 419402 221024 13 F 2  68  57  69 1 3 315  9  0  88  65 100  36   0   7
POSSUM 419402 221025 13 F 0  68  38  34 3 2 315 13  0  71  47  93  29   0   0
POSSUM 419402 221026 13 F 0  72  38  30 1 1 158  6  0  73  44  79  24   0   0
POSSUM 419402 221027 13 F 1  73  49  43 1 2 180 10  0  75  49  77  24   0   0
POSSUM 419402 221028 13 F 1  64  52  66 2 2 360 10  0  77  52 100  35   0   0
POSSUM 419402 221029 13 F 1  65  47  53 2 1 360  5  0  66  46 100  48   0   0
POSSUM 419402 221030 13 F 1  68  46  46 1 1 225  6  0  69  44 100  39   0   0
COMANC 419403 221024 13 F 2  71  59  68 1 4 315 10  0  86  67  97  39   0   6
COMANC 419403 221025 13 F 0  69  35  29 4 2 315 16  0  74  48  80  29   0   0
COMANC 419403 221026 13 F 0  73  38  28 1 1 158  8  0  73  44  76  27   0   0
COMANC 419403 221027 13 F 1  75  50  42 1 2 180 10  0  76  50  74  25   0   0
COMANC 419403 221028 13 F 1  67  50  56 2 2 360 11  0  77  55  96  42   0   0
COMANC 419403 221029 13 F 1  66  45  48 2 1 360  5  0  68  47 100  48   0   0
COMANC 419403 221030 13 F 1  70  44  40 1 1 225  8  0  70  44 100  40   0   0
MINERA 419404 221024 13 F 2  68  60  76 1 3 338 11  0  88  66  97  33   0   6
MINERA 419404 221025 13 F 0  69  37  31 3 2 315 17  0  70  48  89  31   0   0
MINERA 419404 221026 13 F 0  71  38  30 1 1 135  9  0  71  42  86  27   0   0
MINERA 419404 221027 13 F 1  74  46  37 1 2 180 12  0  74  46  86  28   0   0
MINERA 419404 221028 13 F 1  64  50  62 2 2 360 11  0  77  52  96  35   0   0
MINERA 419404 221029 13 F 1  66  45  47 2 2 360  8  0  67  44 100  47   0   0
MINERA 419404 221030 13 F 1  70  45  41 1 1 203  8  0  70  42 100  41   0   0
LBJ    419601 221024 13 F 2  66  62  87 1 3 315 14  0  87  64 100  41   0   7
LBJ    419601 221025 13 F 0  65  40  41 3 2 315 17  0  67  47  97  40   0   0
LBJ    419601 221026 13 F 0  69  41  37 1 1 135  8  0  70  43  86  34   0   0
LBJ    419601 221027 13 F 1  69  46  45 1 2 158 11  0  72  45  93  33   0   0
LBJ    419601 221028 13 F 2  61  53  77 2 2 360 10  0  73  51 100  40   0   0
LBJ    419601 221029 13 F 1  64  48  56 2 2 360  6  0  65  45 100  53   0   0
LBJ    419601 221030 13 F 1  67  48  51 1 1 203  8  0  67  42 100  49   0   0
GREENV 419602 221024 13 F 8  69  67  96 1 4 180 19  0  85  68  97  40   0   4
GREENV 419602 221025 13 F 0  64  45  51 4 4 315 18  0  70  51 100  51  11   0
GREENV 419602 221026 13 F 0  68  44  43 1 1  90  5  0  68  41 100  42   0   0
GREENV 419602 221027 13 F 1  70  48  47 1 1 158 10  0  71  43 100  42   0   0
GREENV 419602 221028 13 F 2  63  56  80 1 2  23 10  0  73  49 100  43   0   0
GREENV 419602 221029 13 F 1  66  53  64 2 2 360  8  0  66  46 100  63   0   0
GREENV 419602 221030 13 F 1  67  52  59 1 1 270  6  0  67  43 100  59   0   0
DENTON 419603 221024 13 F 8  66  62  90 1 3 315 17  0  86  66 100  41   0   6
DENTON 419603 221025 13 F 0  65  40  41 3 3 315 17  0  67  48 100  41   5   0
DENTON 419603 221026 13 F 0  69  40  35 1 1 135  6  0  69  45  82  35   0   0
DENTON 419603 221027 13 F 1  72  45  39 1 2 158 12  0  72  48  83  33   0   0
DENTON 419603 221028 13 F 2  63  52  69 2 2 360 10  0  74  52  96  35   0   0
DENTON 419603 221029 13 F 1  66  47  52 2 2 360  8  0  66  48 100  52   0   0
DENTON 419603 221030 13 F 1  68  47  48 1 1 203  9  0  68  44 100  47   0   0
MCKINN 419604 221024 13 F 8  69  64  87 1 4 180 18  0  86  67 100  36   0   6
MCKINN 419604 221025 13 F 0  64  41  43 4 3 315 17  0  69  50  97  43   5   0
MCKINN 419604 221026 13 F 0  69  39  34 1 1 113  5  0  69  44  89  34   0   0
