SHUS64 KMWI 232131
FWOJAN
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:27 GMT
 
Listing of Forecasted Observations (Jackson, MS)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
HOLMES 223501 221024 13 F 2  83  61  49 1 1 180 10  0  83  57 100  36   0   0
HOLMES 223501 221025 13 F 1  72  61  70 1 3 225 13  0  83  67 100  46   0   6
HOLMES 223501 221026 13 F 0  68  45  45 2 1 338  6  0  72  46 100  45   0   0
HOLMES 223501 221027 13 F 0  73  51  46 1 1  68  2  0  73  44 100  42   0   0
HOLMES 223501 221028 13 F 2  73  55  55 1 1 113  3  0  74  48 100  43   0   0
HOLMES 223501 221029 13 F 2  69  58  68 1 1  90  7  0  74  53 100  51   0   0
HOLMES 223501 221030 13 F 2  67  56  70 1 1 248  6  0  70  51 100  61   0   0
TOMBIG 223701 221024 13 F 2  79  59  51 1 1 158  8  0  80  52 100  34   0   0
TOMBIG 223701 221025 13 F 2  74  65  76 1 3 203 12  0  80  64 100  50   0   6
TOMBIG 223701 221026 13 F 0  66  46  49 3 1 338  5  0  74  47 100  48   0   0
TOMBIG 223701 221027 13 F 0  70  50  50 1 1  45  2  0  70  43 100  47   0   0
TOMBIG 223701 221028 13 F 2  71  54  56 1 1 113  3  0  72  46 100  46   0   0
TOMBIG 223701 221029 13 F 2  67  57  72 1 1  90  8  0  73  53 100  51   0   0
TOMBIG 223701 221030 13 F 2  66  55  69 1 1 225  5  0  68  51 100  65   0   0
NESHOB 224601 221024 13 F 2  80  60  51 1 1 158 10  0  81  50 100  33   0   0
NESHOB 224601 221025 13 F 2  75  66  74 1 3 203 13  0  81  65 100  51   0   7
NESHOB 224601 221026 13 F 0  68  45  45 3 1 338  6  0  76  47 100  45   0   0
NESHOB 224601 221027 13 F 0  72  50  46 1 1  45  3  0  72  42 100  42   0   0
NESHOB 224601 221028 13 F 2  73  54  52 1 1 113  5  0  73  46 100  41   0   0
NESHOB 224601 221029 13 F 2  69  58  68 1 1 113  6  0  74  53 100  48   0   0
NESHOB 224601 221030 13 F 2  67  54  64 1 1 225  5  0  70  50 100  63   0   0
BIENVI 225101 221024 13 F 2  80  60  52 1 1 158  9  0  81  53 100  35   0   0
BIENVI 225101 221025 13 F 2  76  65  69 1 3 203 12  0  81  66 100  49   0   6
BIENVI 225101 221026 13 F 0  69  46  44 3 1 338  6  0  76  47 100  42   0   0
BIENVI 225101 221027 13 F 0  73  49  44 1 1  45  2  0  74  44 100  39   0   0
BIENVI 225101 221028 13 F 2  73  53  50 1 1 113  3  0  75  46 100  40   0   0
BIENVI 225101 221029 13 F 2  69  57  67 1 1 113  5  0  74  54 100  48   0   0
BIENVI 225101 221030 13 F 2  68  54  61 1 1 248  4  0  71  51 100  59   0   0
LAUDER 225301 221024 13 F 2  77  60  56 1 1 158  8  0  78  49 100  31   0   0
LAUDER 225301 221025 13 F 8  76  67  76 1 3 180 12  0  78  64 100  56   0   6
LAUDER 225301 221026 13 F 0  67  47  50 3 1 338  6  0  76  49 100  50   0   0
LAUDER 225301 221027 13 F 0  71  50  49 1 1  23  3  0  71  44 100  47   0   0
LAUDER 225301 221028 13 F 1  73  54  53 1 1 113  4  0  73  46 100  46   0   0
LAUDER 225301 221029 13 F 2  67  58  73 1 1 135  7  0  74  54 100  51   0   0
LAUDER 225301 221030 13 F 2  67  56  68 1 1 203  5  0  68  52 100  68   0   0
COPIAH 225502 221024 13 F 2  81  62  53 1 1 158  9  0  82  56 100  39   0   0
COPIAH 225502 221025 13 F 1  74  63  70 1 3 225 11  0  82  67 100  51   0   6
COPIAH 225502 221026 13 F 0  68  47  48 3 1 338  6  0  75  47 100  45   0   0
COPIAH 225502 221027 13 F 0  73  51  47 1 1  68  2  0  74  44 100  42   0   0
COPIAH 225502 221028 13 F 2  72  56  58 1 1 113  4  0  75  48 100  43   0   0
COPIAH 225502 221029 13 F 2  70  58  67 1 1 135  6  0  74  55 100  55   0   0
COPIAH 225502 221030 13 F 2  67  56  69 1 1 270  3  0  72  52 100  61   0   0
BUDE   226102 221024 13 F 2  83  62  50 1 1 180  9  0  83  58 100  41   0   0
BUDE   226102 221025 13 F 1  75  61  63 1 3 248 10  0  84  68 100  48   0   5
BUDE   226102 221026 13 F 0  71  46  41 2 1 360  6  0  76  48  96  41   0   0
BUDE   226102 221027 13 F 0  76  49  40 1 1  90  2  0  76  44 100  38   0   0
BUDE   226102 221028 13 F 2  73  56  57 1 1 135  4  0  77  49 100  37   0   0
BUDE   226102 221029 13 F 1  72  57  61 1 1 248  5  0  74  55 100  55   0   0
BUDE   226102 221030 13 F 1  70  55  60 1 1 293  3  0  73  51 100  57   0   0
COVING 226502 221024 13 F 2  79  62  58 1 1 158  9  0  80  54 100  38   0   0
