SHUS64 KMWI 232131
FWOBMX
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:27 GMT
 
Listing of Forecasted Observations (Birmingham, AL)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
MOUNTA 012201 221024 13 F 1  76  47  37 1 1 158  6  0  77  50  86  27   0   0
MOUNTA 012201 221025 13 F 2  76  56  50 1 1 180 11  0  78  55  83  34   0   0
MOUNTA 012201 221026 13 F 1  66  46  50 1 1 315  6  0  79  50  93  47   0   0
MOUNTA 012201 221027 13 F 0  72  48  43 1 1  68  4  0  73  45  96  43   0   0
MOUNTA 012201 221028 13 F 1  73  52  49 1 1 113  6  0  75  51  93  40   0   0
MOUNTA 012201 221029 13 F 2  68  54  61 1 1 113  8  0  76  54  93  44   0   0
MOUNTA 012201 221030 13 F 1  64  53  68 1 1 158  8  0  71  51 100  55   0   0
TERRAP 012302 221024 13 F 1  78  49  37 1 1 158  6  0  78  48  93  28   0   0
TERRAP 012302 221025 13 F 2  78  56  48 1 1 158  9  0  79  53  89  36   0   0
TERRAP 012302 221026 13 F 0  67  47  50 1 1 315  6  0  80  50  93  45   0   0
TERRAP 012302 221027 13 F 0  74  50  43 1 1  68  3  0  74  45  96  43   0   0
TERRAP 012302 221028 13 F 1  74  53  49 1 1 113  6  0  76  50  96  40   0   0
TERRAP 012302 221029 13 F 2  69  54  60 1 1  90  6  0  76  52 100  45   0   0
TERRAP 012302 221030 13 F 1  66  55  68 1 1 158  6  0  72  50 100  55   0   0
TALLGA 012701 221024 13 F 1  78  48  36 1 1 180  6  0  78  47 100  27   0   0
TALLGA 012701 221025 13 F 2  77  58  53 1 1 180 10  0  78  54  96  35   0   0
TALLGA 012701 221026 13 F 1  67  47  49 1 1 315  6  0  79  50  97  48   0   0
TALLGA 012701 221027 13 F 0  73  49  44 1 1  45  2  0  73  44 100  42   0   0
TALLGA 012701 221028 13 F 1  74  53  48 1 1 113  5  0  75  50 100  40   0   0
TALLGA 012701 221029 13 F 2  69  55  61 1 1 113  6  0  76  52 100  43   0   0
TALLGA 012701 221030 13 F 1  65  54  70 1 1 180  6  0  70  50 100  57   0   0
SCHOOL 012801 221024 13 F 1  76  49  39 1 1 158  5  0  77  48  93  30   0   0
SCHOOL 012801 221025 13 F 2  76  59  56 1 1 180 11  0  77  54  96  37   0   0
SCHOOL 012801 221026 13 F 0  66  47  51 1 1 315  5  0  77  50  97  50   0   0
SCHOOL 012801 221027 13 F 0  71  49  46 1 1  45  2  0  71  45  96  45   0   0
SCHOOL 012801 221028 13 F 1  73  53  50 1 1 113  5  0  73  50 100  41   0   0
SCHOOL 012801 221029 13 F 2  67  54  65 1 1 113  6  0  74  52 100  46   0   0
SCHOOL 012801 221030 13 F 1  64  54  70 1 1 180  6  0  69  50 100  61   0   0
SHOAL  012902 221024 13 F 1  76  49  39 1 1 158  6  0  76  46 100  29   0   0
SHOAL  012902 221025 13 F 2  76  57  53 1 1 180 10  0  77  52  93  36   0   0
SHOAL  012902 221026 13 F 0  66  46  50 1 1 315  6  0  78  49 100  48   0   0
SHOAL  012902 221027 13 F 0  72  48  44 1 1  90  3  0  72  44 100  44   0   0
SHOAL  012902 221028 13 F 1  73  52  49 1 1 113  6  0  74  50 100  41   0   0
SHOAL  012902 221029 13 F 2  68  54  61 1 1 113  6  0  74  52 100  46   0   0
SHOAL  012902 221030 13 F 1  64  54  70 1 1 158  6  0  70  49 100  57   0   0
OAKMUL 013201 221024 13 F 1  79  53  41 1 1 158  8  0  79  49  93  28   0   0
OAKMUL 013201 221025 13 F 8  77  63  64 1 3 158 11  0  79  60 100  40   0   2
OAKMUL 013201 221026 13 F 0  68  47  47 3 1 315  6  0  79  49  96  47   4   0
OAKMUL 013201 221027 13 F 0  73  49  43 1 1  23  2  0  73  46  96  42   0   0
OAKMUL 013201 221028 13 F 1  74  54  50 1 1 135  5  0  75  50 100  40   0   0
OAKMUL 013201 221029 13 F 2  69  58  68 1 1 113  6  0  76  53 100  46   0   0
OAKMUL 013201 221030 13 F 1  67  54  65 1 1 180  6  0  70  51 100  61   0   0
TUSKEG 014201 221024 13 F 1  79  53  41 1 1 158  5  0  79  48 100  29   0   0
TUSKEG 014201 221025 13 F 2  79  60  53 1 1 180  9  0  80  53 100  39   0   0
TUSKEG 014201 221026 13 F 0  71  50  48 1 1 293  6  0  81  53 100  47   0   0
TUSKEG 014201 221027 13 F 0  75  51  44 1 1  68  2  0  75  48  93  43   0   0
TUSKEG 014201 221028 13 F 1  77  55  48 1 1 113  5  0  77  53 100  40   0   0
TUSKEG 014201 221029 13 F 2  71  59  67 1 1  90  6  0  79  54 100  45   0   0
TUSKEG 014201 221030 13 F 1  68  57  70 1 1 180  6  0  72  52 100  64   0   0
 
 
 
End of WIMS Bulletin @ 23-OCT-22 21:31:27 GMT

