SHUS64 KMWI 232131
FWOLUB
Weather Information Management System (WIMS)
USDA National Information Technology Center (KMWI)
23-OCT-22 21:31:27 GMT
 
Listing of Forecasted Observations (Lubbock, TX)
 
ST NME STAT'N   DATE HR T W DBT DPT  RH Y M DIR WS 10 TMX TMN HMX HMN PD1 PD2
------ ------ ------ -- - - --- --- --- - - --- -- -- --- --- --- ---  --  --
Stations not in a Zone:
CAPROC 418901 221024 13 F 2  58  46  66 1 3 360 14  0  85  56  77  30   0   0
CAPROC 418901 221025 13 F 0  65  31  28 3 1 293  8  0  66  41  96  27   8   0
CAPROC 418901 221026 13 F 0  69  32  26 1 1 158 16  0  69  44  64  24   0   0
CAPROC 418901 221027 13 F 1  72  40  32 1 2 203 14  0  72  49  74  25   0   0
CAPROC 418901 221028 13 F 1  61  42  51 2 2 360 18  0  73  48  86  30   0   0
CAPROC 418901 221029 13 F 1  62  39  43 1 1 293 11  0  62  44  87  42   0   0
CAPROC 418901 221030 13 F 1  66  39  37 1 1 203 12  0  66  44  84  35   0   0
MATADO 418902 221024 13 F 1  65  48  56 1 2 360 11  0  89  59  80  28   0   0
MATADO 418902 221025 13 F 0  68  32  27 2 2 293  9  0  68  41 100  26   8   0
MATADO 418902 221026 13 F 0  72  34  25 1 1 158 16  0  72  43  71  22   0   0
MATADO 418902 221027 13 F 1  74  45  36 1 3 180 17  0  74  50  74  24   0   0
MATADO 418902 221028 13 F 1  63  45  52 3 3 360 17  0  76  50  92  33   0   0
MATADO 418902 221029 13 F 1  65  41  42 1 1 360 13  0  65  44  95  41   0   0
MATADO 418902 221030 13 F 1  68  40  37 1 1 203 13  0  68  44  91  36   0   0
QUITAQ 418903 221024 13 F 2  58  46  66 1 3 338 13  0  85  56  77  30   0   0
QUITAQ 418903 221025 13 F 0  65  31  28 3 1 293  8  0  66  41  96  27   8   0
QUITAQ 418903 221026 13 F 0  69  32  26 1 1 158 16  0  69  43  68  24   0   0
QUITAQ 418903 221027 13 F 1  72  40  32 1 2 203 14  0  72  49  74  25   0   0
QUITAQ 418903 221028 13 F 1  61  41  49 2 2 360 17  0  74  48  86  29   0   0
QUITAQ 418903 221029 13 F 1  62  39  43 1 1 293 11  0  62  44  87  42   0   0
QUITAQ 418903 221030 13 F 1  67  39  36 1 1 203 12  0  67  43  86  35   0   0
MULESH 418904 221024 13 F 2  51  41  69 1 1 338 13  0  77  49  86  30   0   0
MULESH 418904 221025 13 F 0  61  25  26 1 1 270  8  0  61  34 100  26   0   0
MULESH 418904 221026 13 F 0  67  29  24 1 1 180 14  0  67  37  72  23   0   0
MULESH 418904 221027 13 F 2  69  33  27 1 1 248 14  0  69  42  77  22   0   0
MULESH 418904 221028 13 F 1  57  34  42 1 1 360 19  0  71  39  89  24   0   0
MULESH 418904 221029 13 F 1  61  34  37 1 1 248 13  0  61  36 100  37   0   0
MULESH 418904 221030 13 F 1  65  34  32 1 1 248 14  0  65  38  93  32   0   0
TULIA  418905 221024 13 F 8  52  42  70 1 2 360 12  0  79  51  80  32   0   5
TULIA  418905 221025 13 F 0  61  27  28 2 1 270  8  0  62  36 100  27   8   0
TULIA  418905 221026 13 F 0  67  30  25 1 1 180 17  0  67  38  72  23   0   0
TULIA  418905 221027 13 F 1  68  35  30 1 1 225 12  0  68  45  78  24   0   0
TULIA  418905 221028 13 F 1  57  36  47 1 1 360 19  0  70  42  90  27   0   0
TULIA  418905 221029 13 F 1  60  36  41 1 1 270 13  0  60  39  94  40   0   0
TULIA  418905 221030 13 F 1  64  35  35 1 1 225 14  0  64  39  94  34   0   0
ROARIN 418906 221024 13 F 2  62  47  60 1 2 338 14  0  88  57  80  30   0   0
ROARIN 418906 221025 13 F 0  66  31  27 2 1 293  8  0  66  41 100  26   0   0
ROARIN 418906 221026 13 F 0  68  33  28 1 1 180 16  0  68  45  61  24   0   0
ROARIN 418906 221027 13 F 1  71  44  38 1 2 203 17  0  72  49  74  26   0   0
ROARIN 418906 221028 13 F 1  60  43  54 2 2 360 19  0  74  48  89  34   0   0
ROARIN 418906 221029 13 F 1  61  40  47 1 1 360 12  0  62  43  90  46   0   0
ROARIN 418906 221030 13 F 1  66  41  40 1 1 203 14  0  66  44  88  39   0   0
ESTELL 418907 221024 13 F 1  62  48  61 2 3 360 11  0  88  57  77  27   0   0
ESTELL 418907 221025 13 F 0  66  31  27 3 2 293  8  0  67  39 100  26  10   0
ESTELL 418907 221026 13 F 0  70  33  26 1 1 158 14  0  70  42  76  23   0   0
ESTELL 418907 221027 13 F 1  72  43  36 1 3 180 16  0  73  47  79  25   0   0
